Date,Product_ID,Warehouse_ID,Stock_On_Hand,Safety_Stock
2020-02-09,569,7,267,70
2021-04-02,863,4,52,99
2020-06-01,57,3,178,90
2020-04-20,1424,3,271,68
2020-12-09,363,10,144,76
2023-07-27,1359,3,487,89
2021-02-09,134,2,350,34
2022-12-31,14,5,409,21
2021-11-12,283,1,257,31
2021-09-23,806,5,28,97
2023-05-08,1683,10,349,72
2020-11-07,1445,8,495,79
2020-12-14,127,7,174,85
2023-01-21,1796,3,394,62
2019-03-24,1850,9,356,53
2022-03-14,218,10,161,47
2022-01-13,1929,7,454,24
2022-01-06,745,1,230,54
2020-04-01,1905,6,28,35
2019-01-01,680,4,480,57
2019-02-20,1679,6,120,65
2020-11-15,1513,3,176,63
2020-12-17,997,5,119,63
2023-12-01,260,3,346,24
2023-01-09,1242,7,143,65
2020-03-24,1844,5,336,65
2021-05-30,1682,4,202,96
2020-05-02,1513,10,397,84
2023-12-29,1973,7,268,48
2019-02-03,1467,7,418,21
2022-10-03,99,10,473,82
2019-04-05,182,9,51,55
2021-12-31,169,3,24,57
2023-04-24,233,10,231,37
2019-06-03,956,8,235,27
2019-09-07,1117,7,380,47
2020-11-04,1653,9,490,23
2020-03-13,472,2,442,57
2019-04-28,1540,6,459,83
2021-02-09,1109,5,238,91
2022-08-22,679,3,372,77
2019-09-25,1543,7,67,82
2021-12-13,381,5,425,39
2019-08-24,1431,6,431,79
2020-01-24,1256,4,488,54
2021-09-16,251,7,240,56
2023-10-24,1109,7,218,94
2021-02-01,319,5,117,82
2020-02-05,193,7,428,54
2020-09-15,1659,7,71,71
2021-02-05,937,10,246,37
2022-08-19,601,8,71,76
2021-07-07,607,1,284,39
2022-05-15,1911,4,2,78
2022-06-06,1324,1,276,87
2021-05-02,1382,3,414,45
2020-07-31,1581,8,140,32
2019-03-16,765,7,222,40
2020-03-10,1477,3,464,74
2019-04-13,885,4,175,61
2022-12-16,991,2,351,42
2023-09-24,1587,2,279,89
2021-02-02,506,5,257,63
2021-01-07,65,2,233,45
2021-03-16,1590,7,2,84
2022-08-22,1976,1,153,95
2019-04-08,222,9,1,70
2021-03-08,466,10,32,93
2022-09-20,72,1,33,46
2021-05-08,888,1,345,56
2020-03-10,474,9,97,59
2020-03-22,1704,7,37,46
2022-08-24,1722,10,126,84
2019-09-06,655,4,205,79
2019-06-15,19,3,222,75
2023-02-13,522,5,147,97
2021-09-10,784,2,137,71
2022-09-20,1707,6,467,72
2021-10-16,415,6,160,33
2020-06-25,364,1,121,51
2021-01-28,528,10,44,91
2022-02-03,1104,9,495,54
2023-05-06,796,1,59,68
2019-03-22,1214,6,449,33
2019-05-13,1172,7,237,78
2021-03-07,1699,8,188,24
2021-06-18,443,2,178,51
2019-05-18,265,8,11,41
2019-07-03,1896,10,207,80
2022-11-25,650,2,136,40
2022-09-15,509,2,266,52
2021-02-23,1325,9,148,98
2023-03-12,466,7,203,70
2021-09-10,365,8,195,67
2019-03-10,1423,1,281,34
2020-06-29,493,10,446,22
2023-12-03,542,6,146,76
2019-02-22,1840,1,489,75
2023-01-13,1504,5,494,81
2019-07-24,1192,2,272,37
2019-05-06,1627,9,250,91
2023-11-06,1115,3,171,75
2019-02-12,723,10,188,67
2023-11-11,842,7,128,24
2019-04-21,300,2,239,33
2021-01-30,174,10,377,60
2023-08-14,646,4,199,79
2022-04-21,1397,10,441,69
2021-04-27,24,3,349,82
2019-04-05,1225,1,120,84
2022-10-29,731,10,114,51
2023-03-24,7,6,40,37
2021-06-18,1030,5,151,37
2019-12-26,1654,6,170,60
2021-06-18,1185,1,336,94
2023-09-16,1621,8,373,89
2019-10-08,878,4,93,70
2022-05-03,1272,7,488,55
2022-05-03,166,8,115,24
2020-10-28,428,3,234,53
2019-04-03,145,4,264,34
2020-11-02,1535,9,449,28
2019-03-02,1567,9,217,30
2020-09-25,933,7,159,61
2021-12-10,509,3,218,82
2022-11-27,907,4,424,60
2023-12-18,1244,7,10,80
2021-10-25,645,6,448,49
2023-01-29,1600,6,115,32
2020-08-26,76,4,228,94
2020-11-12,1667,10,273,26
2020-06-17,824,8,7,77
2022-11-29,1343,9,282,61
2021-04-17,1897,10,209,83
2023-03-17,1062,7,264,64
2020-10-06,566,8,1,90
2019-08-21,1666,10,80,41
2020-06-07,1754,2,458,23
2019-12-12,1538,4,301,98
2021-12-05,1270,3,197,58
2020-06-29,1164,6,388,60
2022-01-06,1832,2,139,60
2023-10-20,1282,7,171,60
2022-01-01,617,8,425,47
2021-03-04,381,4,354,62
2019-09-06,848,8,370,83
2019-02-16,1502,8,471,25
2022-02-18,1209,3,157,85
2019-08-02,303,1,51,50
2019-08-27,1518,3,464,28
2021-12-15,756,10,302,20
2019-12-16,164,1,35,34
2019-04-17,1668,2,69,42
2021-04-10,1227,8,287,36
2019-02-17,1432,4,225,77
2023-05-16,1234,9,299,90
2019-12-03,1883,7,399,86
2021-11-15,101,3,70,72
2021-03-14,1470,1,351,49
2022-07-04,898,1,144,29
2019-01-08,783,1,159,74
2020-09-16,1995,10,13,61
2022-06-30,1585,3,409,67
2023-09-12,368,5,456,42
2020-12-19,1263,8,140,23
2019-10-30,727,8,497,92
2020-09-30,1315,2,127,94
2019-02-25,372,9,216,84
2020-12-26,862,9,267,29
2020-06-09,1455,7,172,33
2020-04-18,280,10,143,55
2019-01-28,1491,5,496,47
2019-03-19,316,5,477,78
2022-05-24,1101,8,307,23
2022-11-10,816,8,148,97
2019-12-31,151,5,23,88
2020-10-27,1420,6,42,36
2020-06-09,1009,6,122,56
2020-11-29,1520,6,388,81
2022-08-28,1321,5,110,50
2021-06-01,669,9,288,47
2021-10-27,1734,1,496,72
2021-10-23,1971,10,158,55
2023-07-05,1920,3,497,45
2021-07-07,407,7,8,47
2021-01-19,287,9,240,80
2019-12-29,1517,2,34,41
2023-11-10,917,4,7,69
2023-03-12,1560,8,330,54
2022-07-21,1480,5,144,88
2023-03-10,492,8,79,30
2021-03-16,1033,2,19,57
2021-01-08,1942,8,474,78
2021-11-04,1156,6,247,64
2022-04-30,1101,5,333,63
2023-07-13,738,2,21,44
2020-04-29,131,7,437,35
2019-01-28,997,1,368,39
2020-12-14,1912,6,70,73
2021-11-28,1436,3,458,32
2022-07-20,1114,6,208,54
2022-06-08,498,1,76,31
2019-03-27,1653,1,370,82
2023-02-06,622,2,80,23
2019-05-06,889,10,458,55
2021-03-22,354,7,247,28
2020-06-20,271,4,451,93
2019-05-25,1416,4,207,29
2023-03-29,432,4,158,72
2022-05-20,739,5,340,27
2019-01-25,472,2,480,78
2023-05-23,1780,7,140,38
2022-11-18,1332,3,112,63
2019-03-08,508,3,252,63
2019-08-21,55,2,28,53
2019-04-19,37,6,462,72
2022-03-15,900,4,137,22
2019-04-21,55,4,416,21
2019-08-16,524,8,398,79
2019-04-21,915,2,122,65
2023-02-02,463,7,362,34
2019-02-03,697,2,76,26
2020-09-14,1502,6,34,80
2023-12-05,1773,5,309,54
2022-10-24,1829,8,404,54
2021-01-17,716,6,157,88
2020-08-17,1235,7,367,68
2023-04-27,1250,6,173,21
2020-02-29,1031,8,234,53
2020-09-04,732,2,297,32
2023-03-22,1847,7,492,83
2020-11-22,1564,5,198,54
2022-07-29,989,9,176,97
2022-09-05,1829,9,407,54
2023-10-28,212,8,207,45
2023-01-06,1213,8,68,63
2019-11-11,1099,4,133,26
2021-05-26,754,8,385,58
2023-10-31,1138,2,376,98
2022-11-01,1703,5,2,32
2022-08-05,1642,4,308,23
2022-12-31,1175,5,9,38
2020-10-23,436,5,23,50
2019-10-04,1902,5,111,62
2023-09-30,84,7,416,83
2023-05-25,1236,1,339,21
2023-03-07,779,2,277,41
2020-09-15,834,7,316,95
2020-05-30,1805,1,479,41
2022-10-05,461,9,221,86
2021-04-22,1961,3,322,34
2023-01-09,177,6,259,62
2019-12-16,1807,4,178,33
2023-06-19,312,3,3,93
2023-08-15,1718,8,294,39
2021-04-02,1183,2,30,42
2022-03-06,1725,3,440,73
2021-01-28,186,8,200,92
2021-06-17,1495,3,29,81
2019-08-31,1980,8,244,81
2020-06-26,1333,7,348,83
2021-11-29,246,2,472,93
2019-08-17,1853,1,499,72
2020-07-01,2000,1,166,80
2021-07-08,1017,2,98,72
2022-05-31,384,7,24,22
2019-01-06,1066,9,248,31
2022-09-07,285,7,57,39
2020-04-12,980,3,228,44
2023-10-22,988,8,163,47
2019-03-16,1947,8,394,35
2019-01-04,300,9,473,70
2020-10-07,901,9,105,59
2019-04-28,1460,9,301,40
2021-05-30,1393,4,344,90
2023-06-18,874,10,276,95
2020-05-18,486,4,496,30
2021-08-04,1973,2,385,51
2020-07-27,436,8,201,66
2023-01-04,806,2,294,64
2019-07-13,1452,3,98,98
2021-04-26,181,9,416,37
2020-12-15,883,2,232,25
2022-11-16,1922,1,30,78
2021-11-15,877,5,387,25
2022-12-29,694,7,322,34
2019-06-22,340,4,452,80
2022-08-16,491,4,464,49
2023-07-27,495,3,496,65
2019-11-22,1997,6,396,36
2022-12-04,730,8,378,94
2022-02-15,1187,2,64,27
2021-04-15,1582,6,172,69
2023-12-16,456,8,166,36
2020-12-24,1116,1,235,76
2019-08-13,105,4,86,77
2020-06-15,719,1,360,95
2019-04-23,439,4,241,46
2019-05-20,1522,9,216,77
2020-07-12,1352,6,499,70
2019-01-01,651,6,436,66
2019-03-31,1565,5,414,76
2020-10-15,509,3,140,69
2019-11-16,251,2,384,50
2023-04-23,965,9,97,48
2019-05-19,1215,9,156,43
2023-03-15,47,7,316,82
2021-04-24,879,2,350,87
2019-09-16,1275,4,71,97
2023-08-24,1018,8,385,96
2021-06-20,775,10,267,42
2020-11-20,885,6,311,27
2019-01-10,64,5,224,32
2019-09-18,1874,10,349,20
2023-08-01,320,2,296,82
2019-06-21,860,1,120,46
2021-06-16,780,1,410,60
2019-01-13,1548,1,472,28
2022-04-06,1316,6,421,46
2023-07-24,29,4,369,40
2023-06-08,1675,9,480,65
2019-11-17,437,9,485,67
2022-09-04,1990,3,435,87
2023-06-25,1621,6,335,33
2019-11-25,1610,6,250,61
2021-02-23,763,10,159,78
2021-02-15,736,10,471,94
2021-06-29,1071,1,385,81
2023-04-23,1441,9,321,23
2022-12-13,1617,4,147,78
2023-06-18,451,6,56,53
2022-01-23,633,10,61,24
2023-05-24,1579,8,474,51
2019-11-14,1682,1,85,99
2019-08-24,1098,8,486,85
2019-11-30,1077,6,175,54
2020-01-11,233,1,210,27
2023-01-22,1831,9,134,76
2022-03-06,1899,9,66,44
2020-08-10,200,10,305,42
2023-04-20,674,8,251,55
2020-05-27,549,7,289,44
2022-08-12,937,1,104,36
2022-09-05,97,1,342,82
2021-07-06,49,8,68,83
2023-05-15,896,10,362,56
2022-10-04,522,8,322,24
2023-12-08,40,1,87,43
2021-05-22,914,8,218,93
2022-06-06,1177,8,161,85
2019-09-27,1130,10,114,92
2021-03-08,553,10,298,67
2022-08-07,676,3,20,49
2020-12-25,770,1,11,58
2022-04-03,211,3,31,82
2019-01-05,1226,8,174,76
2021-04-30,433,8,368,91
2022-11-03,707,7,469,80
2019-03-19,565,2,353,22
2022-12-04,147,5,86,23
2020-07-27,1523,10,310,68
2019-05-12,282,8,448,35
2020-08-23,1334,3,323,42
2023-11-08,755,6,272,45
2021-12-01,1075,2,281,98
2019-03-30,495,8,350,45
2020-02-06,409,9,358,44
2019-10-23,1650,1,356,61
2022-08-11,273,4,359,94
2020-09-07,458,6,160,96
2023-03-30,1144,2,191,63
2021-03-10,1725,6,475,20
2023-09-11,46,7,137,55
2023-07-19,1267,6,355,41
2020-02-26,311,10,429,24
2021-11-12,562,10,456,38
2020-07-28,331,8,473,80
2019-05-23,11,5,496,76
2021-09-19,908,3,109,40
2020-10-26,1448,2,50,86
2019-05-25,1072,2,289,72
2022-06-02,1401,2,397,79
2021-10-03,1592,10,168,80
2020-05-17,8,5,473,94
2021-03-31,984,10,356,31
2023-06-28,1550,4,478,61
2019-04-14,1751,2,494,67
2021-11-28,1394,5,293,90
2019-07-17,1464,7,47,94
2023-07-28,1781,5,426,84
2020-08-01,566,8,27,97
2020-01-26,1508,6,375,66
2022-04-17,273,9,424,42
2020-07-07,941,10,235,62
2023-01-11,901,5,487,88
2023-03-04,131,8,439,59
2021-11-04,1545,6,464,75
2023-07-05,724,7,377,88
2023-08-20,634,8,75,85
2022-08-05,114,4,474,57
2020-04-22,532,4,320,89
2022-06-08,1523,6,487,24
2021-07-11,1363,2,59,97
2020-02-24,1045,9,224,79
2019-06-06,1744,8,268,66
2020-07-03,33,2,452,95
2023-01-04,133,1,51,59
2022-01-25,920,10,100,43
2021-10-17,1727,4,359,37
2021-09-23,975,4,298,94
2022-12-05,26,2,219,87
2021-08-08,1388,5,249,81
2019-10-16,601,3,471,26
2022-07-01,1116,3,211,34
2019-07-15,545,10,423,98
2020-08-20,1262,3,41,85
2023-03-26,18,4,420,55
2020-05-31,1298,5,467,78
2023-07-17,934,4,406,90
2021-05-14,289,9,322,48
2022-02-15,1051,4,324,44
2021-03-16,817,7,334,74
2022-03-28,1458,10,109,40
2021-03-25,1935,5,116,68
2019-08-16,108,10,68,31
2019-08-04,973,9,97,27
2021-08-05,948,9,249,60
2023-09-16,738,8,486,43
2019-01-15,324,6,378,55
2022-03-26,867,6,185,21
2023-07-30,1555,2,230,48
2022-07-08,735,7,301,32
2022-03-26,793,9,342,26
2019-02-16,1128,9,430,59
2019-11-20,1868,2,272,78
2021-04-23,1356,9,392,77
2023-09-05,1386,7,323,30
2019-05-10,1945,5,221,48
2022-12-05,289,5,239,36
2019-04-05,1468,6,461,32
2020-09-18,1061,8,285,28
2021-01-24,1372,2,350,61
2022-08-08,892,3,60,28
2021-03-04,1780,10,192,40
2022-07-30,43,7,441,97
2019-03-10,1150,3,410,46
2023-08-11,9,1,193,74
2019-01-11,1550,6,300,54
2022-07-01,1155,7,39,59
2021-05-21,1349,9,316,31
2020-07-03,184,1,376,91
2022-03-03,1306,9,296,48
2020-12-12,895,10,201,24
2019-01-23,1077,7,87,79
2021-03-25,1577,8,467,38
2019-12-12,1874,3,169,54
2019-10-29,870,5,189,65
2019-12-29,533,3,118,65
2020-01-31,1401,7,79,64
2019-08-06,1319,2,104,58
2019-05-21,1232,6,37,60
2023-06-28,1000,10,443,37
2021-08-15,663,2,235,78
2022-05-18,1501,9,176,49
2021-09-11,1994,6,233,84
2021-09-19,954,5,234,60
2023-07-05,69,6,232,74
2023-06-28,1867,6,401,78
2021-04-07,1949,6,354,64
2020-11-13,1854,10,221,86
2023-01-23,1461,6,484,36
2021-09-30,301,9,260,93
2019-12-22,27,7,356,39
2021-10-04,1652,1,138,42
2022-09-09,930,10,3,83
2022-03-02,654,9,356,27
2021-06-06,553,6,60,84
2019-05-07,106,10,123,79
2022-02-03,586,8,370,26
2021-10-05,572,3,202,23
2020-08-26,810,3,11,47
2023-12-28,634,9,304,38
2022-11-02,1971,9,110,25
2021-10-10,1739,5,283,45
2019-02-20,1035,5,246,59
2021-11-18,931,3,217,38
2023-01-25,659,7,289,40
2022-08-12,1240,7,439,24
2022-08-13,886,3,192,36
2023-10-16,321,8,261,57
2021-02-17,460,6,416,81
2022-12-01,1981,3,430,59
2023-11-28,1839,6,151,26
2021-03-24,1550,1,33,46
2023-06-25,579,6,71,50
2022-11-29,1716,7,15,81
2022-10-01,877,4,79,45
2023-07-04,754,4,271,89
2020-02-24,160,3,371,50
2022-04-20,464,5,370,31
2021-09-09,998,1,481,34
2021-04-04,1546,6,83,77
2021-10-21,1660,2,141,20
2020-07-20,1297,4,121,81
2020-01-06,241,6,314,78
2021-07-24,936,6,189,56
2020-10-22,964,10,217,25
2022-12-25,959,7,449,43
2021-08-26,1679,1,402,66
2022-08-25,865,6,188,83
2022-03-06,1191,9,449,55
2019-07-21,1593,8,497,75
2022-12-30,650,8,281,99
2019-11-09,327,6,216,36
2019-04-27,865,4,432,30
2023-08-17,529,1,274,23
2021-07-25,1868,5,379,99
2020-07-28,1297,5,493,28
2019-09-01,879,7,383,93
2020-06-20,1400,1,304,58
2023-06-14,1936,6,495,86
2019-03-16,1399,7,242,66
2020-01-21,334,1,208,47
2022-05-18,1027,3,29,20
2020-04-19,1267,10,459,55
2020-02-22,1644,9,56,69
2019-12-13,1075,8,84,96
2023-04-02,882,10,291,58
2020-10-01,350,6,167,69
2021-07-27,174,8,283,42
2021-08-12,116,2,96,72
2021-05-25,1719,7,173,25
2021-02-01,361,2,456,29
2022-04-17,1379,3,209,35
2022-04-20,1690,2,215,96
2020-10-25,1783,5,31,41
2019-01-25,76,10,86,85
2022-04-18,1951,5,441,61
2020-12-10,756,6,331,24
2023-03-05,1105,6,225,56
2022-03-30,1253,7,153,70
2019-06-26,72,8,325,38
2019-10-12,1427,4,196,23
2019-03-04,1242,9,86,91
2021-09-29,452,3,177,46
2020-10-23,911,5,365,74
2020-10-27,1779,3,78,26
2019-06-05,367,2,31,80
2023-02-01,826,5,185,87
2021-12-08,1614,9,63,45
2021-08-24,670,6,332,78
2021-04-28,1584,4,382,96
2022-01-12,1336,7,232,94
2022-10-16,1322,10,155,58
2020-11-19,1048,5,370,53
2019-05-28,110,7,352,44
2023-07-12,52,2,455,55
2019-12-08,1963,2,207,85
2020-04-20,1314,9,374,84
2021-12-22,1468,4,294,25
2023-09-21,467,1,479,32
2022-10-15,1283,9,207,36
2020-07-14,1348,1,300,99
2019-11-23,1675,2,140,57
2023-11-28,1933,9,403,62
2023-10-26,818,3,57,60
2022-03-10,1362,1,402,90
2021-09-16,787,3,202,21
2019-08-03,556,9,346,20
2020-03-10,929,2,207,38
2021-08-09,1446,5,392,35
2020-12-23,259,1,332,53
2022-09-03,1649,10,146,91
2019-02-01,1763,1,477,30
2020-10-31,65,7,310,93
2019-10-12,163,10,250,87
2022-08-21,1188,10,374,70
2020-03-04,1702,3,361,68
2023-02-09,39,1,38,42
2019-10-13,665,1,144,21
2022-03-13,320,5,445,51
2022-12-18,360,3,477,73
2021-11-08,269,4,476,39
2019-01-18,324,6,315,96
2021-02-07,326,2,297,86
2020-08-12,1611,7,385,37
2022-10-26,257,5,49,89
2022-04-13,200,8,495,33
2021-10-06,1462,4,66,87
2019-07-13,610,8,403,95
2020-05-16,1128,4,0,80
2021-09-14,1396,5,132,57
2022-02-10,905,3,352,77
2019-04-24,164,4,381,60
2022-05-30,1137,9,422,25
2023-08-29,615,5,86,23
2021-08-04,1573,4,145,91
2021-04-10,106,4,67,63
2023-07-26,699,7,360,23
2022-07-11,364,2,96,47
2021-07-13,1045,4,473,26
2019-02-24,660,3,277,28
2023-07-25,1153,7,285,86
2021-03-10,1507,4,89,72
2021-02-16,699,8,256,39
2023-01-21,1820,5,69,38
2019-06-11,1223,9,80,35
2022-11-04,747,9,222,22
2019-03-28,1976,3,495,25
2019-02-24,1644,9,306,73
2023-02-08,1545,4,323,97
2023-12-29,961,9,73,45
2022-04-16,1444,2,188,53
2022-11-15,1250,5,175,28
2022-10-04,930,6,308,74
2021-10-28,209,3,358,52
2021-04-12,1269,2,289,79
2019-11-09,1312,1,213,38
2021-01-28,1090,7,499,92
2020-03-18,1892,4,341,58
2023-11-26,1177,8,134,25
2019-11-24,491,8,38,42
2021-12-13,1459,8,292,76
2021-01-30,703,2,62,28
2022-06-16,1242,5,438,29
2022-06-06,1453,8,270,89
2020-08-01,502,10,210,33
2021-12-10,666,2,73,36
2023-06-21,1813,2,356,87
2023-06-16,1618,1,383,97
2021-10-03,221,6,100,43
2022-07-11,435,5,189,32
2022-12-12,280,1,113,78
2019-04-06,1647,8,323,84
2022-01-16,1116,8,109,57
2022-01-06,524,5,433,36
2022-08-04,1163,3,424,33
2022-02-17,667,8,60,65
2021-03-24,1047,3,280,35
2020-05-05,1441,4,155,90
2020-03-27,2000,7,240,66
2023-03-04,732,7,491,95
2019-06-14,348,4,209,42
2019-07-01,1261,9,239,25
2020-04-13,765,6,290,57
2021-06-28,934,8,338,49
2021-01-04,183,7,233,41
2021-04-02,508,4,245,20
2021-08-01,198,2,436,86
2019-01-07,1706,2,467,59
2019-11-26,1147,8,166,20
2021-02-13,1949,8,480,67
2023-08-24,1570,1,314,58
2019-05-31,381,1,64,63
2022-01-13,825,4,366,68
2019-05-27,1539,1,128,80
2023-07-06,1030,10,119,94
2022-11-05,1328,1,232,73
2021-07-03,1638,10,493,38
2023-04-21,192,5,300,40
2022-08-01,1400,1,18,94
2020-11-30,525,10,175,38
2019-03-23,1060,6,432,47
2020-05-28,1999,4,200,38
2021-03-25,1094,10,269,34
2020-12-09,289,5,66,24
2023-03-27,105,9,157,31
2021-01-15,1740,2,232,42
2021-10-19,313,3,115,68
2022-11-10,1079,3,192,30
2020-12-07,1131,9,324,60
2020-04-15,1677,3,214,77
2022-02-16,1761,10,5,91
2020-01-31,307,5,83,59
2023-04-05,1884,6,45,41
2019-09-18,821,6,41,29
2021-03-15,36,6,199,58
2021-07-22,1157,1,188,70
2022-07-03,887,6,30,64
2023-10-24,1049,1,462,89
2021-06-23,1873,6,409,94
2022-06-03,1061,10,441,37
2021-12-12,1043,6,288,60
2021-07-28,35,3,495,96
2023-03-04,1387,3,307,88
2023-03-10,1442,6,358,72
2021-05-03,1846,2,287,83
2022-10-19,1454,5,53,65
2022-07-27,1542,10,128,44
2020-08-15,467,3,388,87
2020-12-14,897,5,405,66
2022-03-27,199,3,478,48
2020-09-23,1570,2,361,43
2019-02-28,1592,4,376,77
2023-10-17,768,5,132,94
2019-05-08,1235,6,7,46
2021-01-05,1633,2,69,67
2020-12-21,1818,3,318,60
2022-02-12,1525,3,9,93
2022-05-17,241,6,237,30
2020-06-09,1194,1,189,62
2020-06-04,1883,7,295,92
2020-07-05,294,8,101,22
2019-08-25,922,7,232,68
2022-07-28,1763,4,430,68
2022-10-14,1339,7,335,63
2022-05-09,1151,1,311,25
2023-11-17,468,8,283,67
2022-07-25,1816,10,55,90
2022-06-12,367,10,0,46
2020-05-08,1045,3,237,69
2019-01-04,316,9,307,42
2020-10-27,758,1,209,95
2020-03-17,1114,6,61,85
2019-01-29,1428,1,230,48
2022-02-06,1542,8,107,33
2020-09-01,451,3,169,92
2023-10-17,778,4,174,48
2021-03-15,908,6,117,24
2019-03-16,1633,4,358,78
2021-04-17,1174,8,292,96
2022-03-15,446,9,138,37
2019-05-08,957,5,194,90
2019-02-11,80,1,28,96
2022-10-11,1041,8,259,80
2019-02-10,138,2,478,67
2021-07-22,652,6,138,63
2019-02-03,851,6,29,57
2021-11-06,1532,7,78,22
2023-08-28,552,9,78,47
2022-03-22,1943,1,185,73
2021-09-24,1704,10,159,64
2022-11-02,74,8,156,62
2020-08-10,1098,5,112,52
2023-06-11,50,6,298,32
2023-07-11,1034,8,475,60
2019-12-08,1127,8,84,76
2019-01-27,1886,7,229,24
2022-08-03,388,7,38,27
2020-10-07,385,1,394,85
2020-12-31,299,8,351,63
2019-06-17,339,3,154,62
2020-09-01,1413,5,279,23
2019-09-25,474,4,292,38
2023-11-08,616,10,320,53
2021-03-31,1826,3,287,81
2020-03-30,962,10,52,24
2021-06-24,792,5,128,30
2023-09-05,1166,3,108,77
2022-11-25,1833,9,183,35
2021-07-10,1194,9,417,99
2021-09-07,13,6,209,89
2023-02-08,1693,3,156,22
2020-12-02,449,5,5,37
2020-09-25,174,8,184,26
2023-05-01,1698,9,94,94
2023-05-19,1983,3,13,66
2019-05-10,1156,5,458,34
2021-10-16,1564,2,68,81
2022-10-18,595,2,189,97
2023-09-25,1921,2,85,42
2021-03-29,932,6,50,55
2020-11-23,1899,3,12,36
2022-08-08,269,10,253,41
2022-10-26,1275,5,331,43
2021-03-04,1394,8,104,46
2019-01-29,618,5,131,36
2019-05-29,773,2,37,42
2023-12-08,865,6,131,90
2022-08-12,526,2,157,20
2019-01-11,1616,8,309,69
2023-03-16,888,2,64,82
2020-11-06,1530,7,188,69
2022-02-10,672,4,432,56
2019-07-06,178,4,414,34
2021-03-17,1691,8,496,75
2021-01-13,1571,4,425,75
2022-06-04,259,8,433,87
2022-08-26,260,9,278,48
2019-04-08,1159,8,461,62
2019-02-24,1485,4,226,39
2020-09-14,1513,5,208,31
2020-10-25,643,6,315,33
2021-01-27,81,9,415,80
2020-02-10,1391,5,439,95
2019-03-10,1083,2,55,80
2022-08-28,1098,7,99,28
2022-08-05,1263,6,86,92
2023-11-21,129,3,289,43
2023-04-21,412,8,494,88
2021-01-20,315,3,229,27
2022-03-17,1398,10,168,98
2023-01-30,1461,4,294,64
2023-10-29,1162,9,213,72
2022-06-21,455,4,297,39
2023-02-23,615,2,321,77
2021-08-15,899,9,147,98
2023-03-11,903,10,269,89
2019-12-31,1033,8,165,52
2020-04-26,232,4,292,80
2019-07-20,611,6,292,30
2019-06-03,730,6,371,22
2023-01-13,965,2,11,68
2023-03-05,1421,9,475,76
2019-03-14,1773,6,439,86
2020-12-13,1758,5,391,48
2019-10-23,1704,2,476,30
2021-11-06,882,10,404,74
2023-07-23,1598,1,422,69
2022-05-25,318,7,431,34
2019-03-02,1531,4,145,23
2021-07-27,522,7,111,51
2023-06-28,1770,5,62,71
2019-02-11,1111,1,210,81
2019-01-25,1803,5,457,93
2021-11-28,716,4,392,60
2019-05-11,1342,1,342,36
2023-03-02,1357,10,29,24
2022-06-06,1384,2,341,91
2019-04-18,1265,9,314,88
2019-06-21,1080,1,54,58
2022-12-29,1134,10,476,51
2023-02-10,1073,4,197,26
2019-04-12,1779,8,305,95
2021-05-15,1040,5,444,69
2020-06-07,1097,10,418,68
2019-10-02,884,7,397,62
2023-06-25,202,2,196,36
2021-12-03,93,4,301,90
2021-03-27,1673,4,465,39
2021-08-14,1057,1,34,64
2021-11-06,1624,8,477,93
2019-11-26,419,3,198,89
2023-05-12,1227,4,97,67
