Date,Campaign_ID,Sessions,Page_Views,Bounces
2020-02-27,16,4418,13698,383
2022-07-22,28,1494,4450,447
2023-09-19,12,417,2926,122
2019-01-02,21,2344,13575,330
2023-08-08,5,4769,2415,227
2022-09-20,1,1833,12209,201
2023-06-25,1,1858,3439,226
2019-01-14,24,3815,8868,301
2019-06-07,20,2607,2939,259
2020-05-09,8,2900,6912,136
2022-03-16,11,530,2194,443
2020-10-07,11,1201,3137,141
2021-09-21,20,3534,9437,218
2022-12-21,1,2059,3038,426
2022-01-20,14,771,9344,468
2021-03-28,20,3417,5554,288
2022-07-19,8,2867,14913,59
2020-04-09,22,2644,8823,276
2019-02-08,21,1682,5085,71
2022-04-21,27,760,11635,99
2023-11-02,22,4916,2819,64
2019-10-17,19,309,8552,424
2023-08-30,17,591,8766,40
2020-01-21,23,3212,7184,164
2022-02-28,1,520,8852,88
2023-04-24,5,1554,13896,493
2022-06-28,26,1172,12484,216
2019-01-21,24,1535,5178,222
2021-01-15,21,2205,12007,304
2019-03-07,29,4005,10673,82
2022-05-04,17,2400,1550,271
2019-07-15,14,4435,14474,445
2022-12-03,23,1180,1952,197
2020-08-12,30,4100,7290,138
2021-10-03,8,4016,3503,473
2022-12-07,8,3068,5528,149
2023-05-19,21,620,6800,294
2019-06-13,14,1862,568,281
2021-06-03,3,3883,2138,82
2020-08-08,4,3506,8663,80
2021-03-19,14,1341,930,256
2023-06-17,16,1273,13735,223
2023-06-29,5,1744,8663,464
2020-07-17,25,3990,9141,356
2021-04-28,7,353,763,233
2019-03-29,7,544,3199,196
2021-12-18,2,3806,10465,27
2023-09-30,29,2322,8906,133
2023-11-10,23,1617,6901,74
2022-11-17,23,3570,5767,259
2021-08-27,7,1714,10208,57
2019-04-13,8,2212,12637,330
2022-08-24,9,491,1071,18
2019-07-17,11,2121,13225,207
2022-08-31,30,2396,4726,117
2019-05-29,14,4102,13512,341
2023-04-01,4,1297,3081,313
2023-02-11,17,2265,4956,19
2020-10-25,20,3601,1967,161
2023-12-17,17,2541,11609,311
2020-04-08,17,3349,9351,136
2020-09-03,9,4348,12192,226
2020-03-18,29,4346,6964,111
2021-09-02,9,4314,6994,455
2022-07-07,21,1779,9076,261
2020-01-26,5,1112,1531,65
2020-12-20,9,2953,4060,30
2021-03-08,13,3271,12652,84
2021-08-23,18,1064,11841,85
2022-07-25,18,2375,2960,287
2020-05-08,10,415,3310,11
2020-11-28,13,968,8177,79
2022-08-26,5,1572,13401,29
2019-11-29,9,591,14501,415
2022-11-15,10,3505,1904,482
2023-10-23,25,2426,1686,224
2021-08-19,14,4726,8348,66
2022-06-06,3,1790,3127,319
2022-07-14,16,590,5185,338
2021-01-23,18,3791,14033,362
2019-10-20,23,1301,1710,347
2023-02-09,5,4091,3965,97
2019-10-31,2,1568,9287,440
2023-07-24,28,2156,4155,256
2020-01-02,15,2391,8550,238
2021-02-17,25,2067,5737,52
2020-03-01,26,1860,3863,233
2021-07-22,29,854,13026,61
2019-11-03,26,3463,3725,118
2022-06-22,23,847,12377,349
2019-07-20,23,4671,11313,22
2022-01-10,1,2395,9463,272
2020-11-10,14,1890,6555,27
2019-10-31,12,4347,11616,472
2022-05-15,13,2266,3704,360
2022-07-30,15,2546,3197,71
2021-09-07,29,575,14224,341
2023-09-22,17,2969,12499,34
2023-11-12,27,3674,3776,249
2021-11-27,20,2918,7823,493
2020-10-13,9,2609,937,298
2023-08-13,1,1159,12850,64
2022-04-21,14,962,4035,118
2019-07-29,22,3539,6573,251
2022-08-24,30,898,9808,104
2021-10-11,21,3225,853,53
2019-11-26,1,1205,11076,318
2022-11-19,16,4785,14477,75
2022-06-19,19,1327,13125,185
2019-09-18,1,1137,12920,225
2023-05-16,17,3521,5271,24
2019-05-23,4,4633,9014,354
2022-08-31,12,4806,10764,155
2021-11-03,2,205,14757,319
2022-11-30,29,2151,7200,168
2020-11-21,10,4375,13245,83
2020-06-03,30,4212,14704,182
2020-12-28,14,4919,5848,249
2020-12-15,28,4824,1858,23
2022-04-29,28,3576,14631,85
2020-03-03,27,615,530,155
2021-05-24,26,148,5748,20
2022-03-20,25,3406,4083,101
2023-09-10,22,3663,690,160
2022-01-26,2,2793,3983,493
2022-04-02,15,2586,13392,453
2019-10-30,2,879,10856,259
2019-09-23,9,3176,8593,76
2020-06-25,1,1723,12347,24
2023-05-14,26,4331,9410,179
2019-02-20,20,879,8954,199
2021-04-01,29,4140,8981,324
2020-12-18,22,631,3896,209
2023-12-06,9,2052,580,151
2023-04-05,20,513,5240,346
2023-11-12,10,1471,11458,178
2019-07-15,29,4987,7539,16
2023-11-07,30,3699,3936,29
2021-12-03,14,2662,11054,329
2022-06-24,15,4824,2952,386
2022-08-12,7,2550,12696,390
2019-10-16,18,3177,4457,333
2022-01-11,26,1006,10622,445
2020-05-06,15,832,209,137
2022-11-21,13,1997,1159,124
2020-04-11,5,4225,1515,20
2023-11-08,22,2519,6626,322
2020-01-27,15,1525,14014,437
2021-12-08,20,4310,6496,464
2020-04-30,9,3627,5834,248
2022-05-16,5,1541,3845,369
2023-05-01,4,4513,13335,273
2021-05-28,29,693,3042,198
2023-06-01,26,4826,8401,324
2019-08-27,23,2367,11748,251
2021-12-11,15,1681,248,102
2022-12-14,11,2187,9341,451
2023-06-30,24,488,248,221
2019-11-16,13,196,626,227
2021-09-07,19,829,827,219
2022-02-01,26,3548,8320,332
2022-02-03,8,1725,3915,262
2019-08-20,17,1186,11659,95
2019-02-06,23,4968,13231,424
2023-12-29,27,1000,3188,97
2021-12-13,4,3871,4633,496
2019-05-17,27,1523,13971,179
2023-08-03,17,3629,11624,303
2020-05-22,26,1717,11035,251
2021-01-14,18,3219,8658,347
2021-02-15,22,4802,962,91
2019-08-27,22,3178,5645,411
2019-09-21,4,1966,12918,356
2020-10-02,22,3924,3937,98
2021-08-18,5,1828,9290,261
2021-09-28,8,3423,1413,129
2019-02-09,21,4904,5307,17
2022-06-02,5,3523,8525,329
2020-08-10,28,3673,10275,440
2023-06-14,12,4243,3417,286
2023-04-14,17,464,9574,354
2022-01-23,7,4265,7981,60
2023-09-19,25,3189,10115,142
2022-12-11,25,3634,14421,427
2023-06-01,8,2172,1892,308
2020-06-05,16,675,2194,87
2022-07-08,4,1786,3706,472
2021-08-22,17,3648,5255,149
2020-01-13,9,114,11001,179
2019-11-05,25,563,12909,53
2023-08-20,20,3975,876,112
2021-05-04,30,3395,14476,292
2023-11-25,19,2669,624,145
2023-02-08,9,4644,5203,420
2022-04-05,14,465,3764,351
2020-01-13,26,4520,7920,361
2022-04-26,30,142,13105,480
2020-06-21,4,724,10364,206
2021-02-16,3,1370,8229,103
2020-09-03,27,3593,6311,107
2020-01-23,17,784,4828,396
2021-03-29,24,3257,721,165
2022-06-26,20,4561,4366,277
2023-10-17,8,4041,10411,201
2022-09-26,16,1365,5213,91
2021-02-14,4,2772,1492,341
2022-03-07,26,4181,286,174
2021-06-03,5,2226,6348,230
2020-06-24,24,3832,13177,410
2020-03-20,21,1266,10292,65
2022-06-14,1,3685,5080,294
2023-07-22,11,3542,10417,317
2021-06-28,20,2174,12961,208
2020-07-05,21,590,4101,409
2020-11-22,10,1663,14787,215
2021-11-28,29,555,12814,415
2019-03-15,12,2626,9906,136
2020-01-20,19,2562,13171,495
2022-12-07,14,2213,1911,465
2020-07-04,7,1210,11603,199
2020-05-27,18,126,12993,218
2022-10-20,3,385,8448,315
2022-12-25,16,4533,12891,123
2022-12-27,16,4948,11167,108
2023-09-24,24,4834,12791,42
2019-11-29,17,1254,584,262
2022-07-04,14,1464,4137,471
2019-08-20,27,4174,14251,20
2020-04-05,27,251,4413,382
2022-11-28,8,2088,309,14
2022-11-07,28,3969,11499,53
2021-11-07,28,2138,6465,170
2022-09-16,4,2669,1037,488
2019-12-31,26,267,10108,397
2020-01-09,1,3499,14945,239
2020-12-02,23,1764,14293,358
2023-05-21,19,1581,1856,205
2022-02-01,17,999,10184,247
2022-06-29,10,4092,2518,233
2022-03-29,28,1936,5595,20
2023-06-07,1,2927,11941,467
2019-10-07,11,1378,6440,358
2021-06-02,13,4589,13786,288
2019-08-05,8,2780,12221,87
2020-09-15,14,3602,4315,106
2021-05-10,5,1900,12377,97
2020-08-02,13,448,8363,302
2023-12-28,5,2182,1695,56
2021-12-23,18,1097,8025,378
2021-12-21,30,945,12669,197
2022-03-23,10,3262,6184,461
2019-05-13,20,2083,14192,11
2019-09-27,5,4316,14610,486
2022-10-04,4,3584,14505,437
2021-12-31,5,2680,7288,446
2022-12-19,18,3283,10539,91
2019-10-12,4,4131,7665,143
2021-10-15,28,653,13056,67
2023-05-27,19,4394,13421,418
2021-04-08,23,2248,3829,143
2019-01-08,6,971,3687,112
2019-07-23,18,1418,5700,42
2021-07-07,28,1930,8513,479
2021-02-25,23,2238,4640,132
2023-10-11,18,1210,3055,103
2023-01-11,28,2730,6571,336
2021-11-12,24,2930,11924,126
2021-03-31,24,4523,13351,341
2020-06-30,3,3056,572,386
2022-02-14,16,835,12167,337
2019-07-26,13,2248,355,182
2022-03-18,26,1253,1930,260
2019-05-02,3,1310,6063,207
2022-11-13,15,2037,10237,194
2022-03-27,25,621,10460,445
2021-03-22,25,3238,4764,203
2022-05-11,20,4965,6303,176
2019-04-10,3,3366,1503,479
2021-03-01,8,3149,8380,190
2020-04-15,16,752,14630,449
2019-05-29,19,1994,768,64
2019-02-11,29,3626,3350,229
2022-12-29,30,872,10070,388
2022-08-24,12,1153,4495,21
2023-08-24,11,1425,13755,281
2022-12-14,2,4737,11122,421
2022-10-26,9,2837,10023,466
2022-10-09,27,1666,11222,158
2019-07-08,15,3065,307,193
2022-10-01,18,1250,11990,431
2021-04-09,6,2087,262,90
2019-03-09,20,2504,14471,474
2023-07-17,8,1250,2171,70
2022-05-22,7,2825,12472,359
2022-02-22,7,415,13948,205
2020-05-26,6,1280,14993,426
2022-01-18,28,3176,2664,47
2019-09-25,18,1027,10205,190
2019-04-25,15,1229,12971,253
2019-05-25,26,4831,6605,191
2023-06-21,25,3909,1058,56
2020-09-19,7,4730,11667,240
2022-07-15,5,4371,5930,371
2023-08-21,17,4210,1721,291
2020-09-12,24,3318,13990,194
2019-09-03,20,634,999,95
2020-03-15,19,2961,3391,91
2023-08-16,22,4396,14577,191
2020-12-04,11,4091,3776,58
2020-11-24,13,1246,13629,216
2021-07-31,12,657,3628,331
2021-06-02,2,1482,1004,275
2019-11-23,4,3578,1825,424
2022-06-09,10,4204,3579,86
2021-11-13,22,1760,2686,384
2023-02-25,5,538,4944,266
2022-04-20,20,2202,8085,151
2019-07-27,21,2131,5431,443
2023-10-08,5,3915,3934,274
2022-10-14,11,4159,11252,372
2020-06-08,30,4652,748,164
2021-08-18,7,858,6340,382
2019-03-15,12,1654,14845,313
2020-03-05,15,2578,5463,222
2019-03-24,11,2688,2671,71
2023-08-31,11,4613,4750,336
2019-06-22,21,2643,9917,124
2023-10-30,26,353,7036,363
2020-08-17,3,565,12807,487
2019-10-08,29,606,5870,293
2023-07-03,27,420,11232,415
2023-07-05,7,4537,2513,323
2020-05-29,18,1562,4110,491
2020-05-23,25,2974,7397,444
2022-03-20,8,1447,7804,33
2019-10-21,1,1029,3012,425
2022-07-16,10,1477,9717,75
2020-08-22,2,1239,2140,334
2022-12-25,15,1047,1946,349
2020-11-20,10,189,968,87
2022-11-02,9,4772,10837,139
2023-08-13,29,3434,10731,451
2023-05-12,5,4246,6490,210
2020-07-13,27,3899,7882,365
2022-10-27,5,2586,7938,129
2019-09-04,13,1145,8705,477
2019-09-20,16,3631,9492,491
2021-12-15,2,4232,11454,220
2020-02-17,3,4615,5454,235
2022-11-16,17,4135,11925,216
2020-05-14,28,3581,8213,449
2023-01-19,19,1610,14409,23
2022-05-21,20,2171,5580,153
2021-05-23,22,4556,13355,466
2019-12-25,1,2596,9324,22
2023-12-27,14,1004,10687,484
2019-07-19,30,2653,13472,379
2019-01-18,3,4662,5563,12
2020-01-28,5,1739,8693,134
2023-12-22,18,607,10713,73
2020-07-31,18,2304,6410,69
2019-06-07,26,1735,13241,435
2022-09-05,24,1356,4310,267
2023-06-11,8,930,11504,397
2022-07-01,24,466,10869,298
2021-03-24,2,4949,3303,389
2022-12-23,29,2569,14475,460
2021-11-01,22,3777,6462,468
2020-01-11,18,4220,878,185
2020-03-07,15,1829,13648,370
2023-07-21,4,3469,14193,368
2023-11-07,7,4579,12546,147
2020-12-13,29,4575,2661,171
2021-12-14,19,940,10386,230
2022-11-10,30,3836,4483,463
2023-04-01,12,651,6965,125
2019-03-17,6,217,1032,83
2019-12-20,8,1810,7108,404
2023-06-07,9,2672,712,180
2021-05-04,11,1396,8811,409
2019-01-27,26,2036,2999,250
2019-02-12,15,3381,3797,383
2023-06-17,30,780,7741,256
2020-03-16,20,2586,3599,162
2021-01-22,6,2755,8942,44
2022-10-30,21,485,2597,365
2021-12-30,25,857,10709,442
2022-12-27,30,3597,6110,117
2019-03-14,14,3096,10690,375
2019-12-20,5,3182,6432,459
2019-10-26,21,4198,1952,41
2020-07-13,9,4437,14273,213
2023-03-07,15,3821,4850,354
2023-08-30,10,3119,1126,251
2023-05-20,4,2866,7781,348
2020-12-09,14,4168,14951,183
2022-01-21,14,3701,1959,138
2023-11-15,28,2008,11439,101
2020-01-29,22,101,4707,218
2019-11-07,28,2209,9230,146
2019-10-04,4,3219,13220,361
2020-12-27,10,2950,8364,98
2023-10-26,25,4332,3394,230
2019-03-24,14,1442,708,80
2021-11-30,28,1977,13472,268
2023-01-29,1,3077,957,65
2023-06-02,24,2790,10618,183
2022-10-03,20,3575,732,81
2023-03-06,23,4154,3247,197
2021-09-17,18,4847,7363,430
2023-06-22,13,4876,10900,92
2020-02-03,24,122,1755,12
2019-09-18,10,1584,11472,233
2022-04-08,29,2811,8603,64
2023-03-27,7,2273,3281,249
2023-10-12,6,2371,2257,143
2023-10-08,29,2269,5350,409
2021-08-22,3,642,2676,210
2020-02-19,6,4104,12350,181
2020-12-23,12,3179,2391,97
2019-04-18,1,1290,5923,289
2022-12-04,9,2317,8608,227
2020-10-20,12,4697,8893,413
2022-12-31,11,2875,4107,435
2020-09-01,30,2019,4128,230
2019-12-25,13,2467,6666,21
2020-02-22,10,593,10178,277
2022-06-11,20,2503,911,234
2023-11-21,8,2380,4403,481
2022-02-20,9,4427,1963,380
2020-04-07,2,1174,10952,392
2021-06-10,22,2576,13356,393
2023-07-04,20,1884,6852,420
2020-06-25,22,2830,11101,244
2021-01-16,28,3946,3514,225
2023-12-10,29,2295,5742,381
2022-02-12,3,2718,4944,140
2023-03-09,28,4020,4975,12
2019-04-09,5,1325,5699,53
2020-03-15,5,3118,5852,441
2023-05-01,9,1504,1997,269
2023-06-22,13,2915,10743,170
2022-07-23,20,1787,11415,173
2021-03-20,9,1863,10098,380
2019-04-26,7,332,1072,288
2019-03-07,6,4978,11043,440
2021-06-03,2,2388,13780,473
2020-09-30,16,1448,6456,103
2020-07-22,21,4876,4518,159
2021-04-09,1,3889,4268,454
2019-12-10,4,3206,14202,396
2021-08-26,9,2925,13098,433
2023-02-01,8,1961,4641,167
2021-10-31,2,4471,7367,269
2021-09-27,23,2199,6432,44
2019-01-10,5,808,10699,43
2022-06-26,11,2234,4935,327
2019-08-05,11,2775,12627,23
2022-02-17,2,4271,1777,391
2019-06-03,30,4395,12074,90
2019-04-05,11,4853,5519,88
2021-05-12,24,2267,2751,354
2020-08-05,22,1217,14485,319
2021-03-29,19,1103,7499,408
2023-10-27,30,4493,13652,173
2021-05-28,20,956,14856,287
2020-01-23,3,3034,3261,499
2021-12-18,8,856,9892,36
2023-06-20,8,3541,2198,206
2019-10-22,23,1622,2991,452
2021-06-20,3,2800,9974,482
2020-01-29,10,1782,439,78
2020-07-22,16,2500,2904,185
2022-10-10,28,3934,3678,177
2020-03-24,9,1040,12672,253
2020-07-27,2,2937,10765,16
2023-05-31,14,2892,5739,22
2019-01-16,7,4537,9905,175
2022-07-31,9,2240,13942,295
2020-04-02,10,2452,7087,150
2021-05-25,14,4878,13555,134
2021-11-16,22,2419,8966,302
2022-01-14,23,2980,2873,345
2022-03-18,15,1195,7807,93
2023-12-17,2,4617,5520,238
2022-08-12,5,707,5954,263
2023-10-02,23,830,2286,337
2021-04-30,26,4370,1446,345
2021-09-21,23,4415,7896,136
2023-08-28,15,640,12658,444
2022-08-06,25,3600,14221,434
2023-11-25,25,1899,6332,245
2019-11-12,10,3573,11544,122
2019-08-20,10,1374,1233,218
2023-04-26,10,367,694,137
2019-05-22,7,1463,12274,38
2023-04-03,8,3113,385,223
2020-11-16,7,824,1498,153
2020-07-29,18,4919,10808,235
2022-06-05,10,1124,7760,459
2022-06-11,26,3521,3789,151
2019-01-17,20,1914,12323,57
2023-08-08,13,2913,12149,408
2021-05-20,30,903,5489,142
2021-02-04,7,456,12851,407
2023-05-05,11,4068,3098,447
2020-01-19,25,2396,8790,142
2023-05-05,28,812,2337,106
2022-08-10,18,2909,337,475
2019-11-08,16,3520,2232,487
2021-01-29,10,1417,11019,199
2021-07-05,2,4915,11792,417
2023-06-10,5,2036,12646,355
2022-06-27,16,1773,4896,481
2019-01-16,30,2464,698,232
2023-02-25,12,3955,2364,192
2023-01-11,27,543,4415,169
2021-12-24,24,2803,1731,157
2022-04-24,1,4044,10227,86
2023-08-25,15,2875,14518,389
2022-08-06,14,579,6681,313
2023-09-03,12,1998,1735,383
2022-06-25,27,414,14904,279
2020-07-07,14,2361,8685,460
2019-04-26,10,1453,1845,389
2021-09-17,14,1724,12170,54
2023-07-02,3,1083,8716,80
2019-01-16,1,4629,10730,205
2022-12-03,2,2565,2764,466
2020-10-17,8,3949,14226,326
2020-01-28,21,871,8602,230
2022-02-11,22,2378,5940,453
2023-05-24,18,435,4236,16
2022-08-27,13,4400,7182,331
2019-06-26,4,3792,10555,209
2019-12-13,22,4395,5859,168
2022-02-27,19,2965,14323,478
2020-05-15,25,3091,11198,106
2022-11-28,19,4993,3992,150
2022-03-14,16,3409,11835,27
2019-01-21,5,3727,13249,189
2022-03-19,4,3079,6424,140
2019-10-13,23,3471,5480,374
2020-06-12,16,1645,12595,468
2021-07-05,18,2263,14123,461
2023-06-16,2,920,4637,441
2023-10-20,14,513,4534,453
2019-08-02,19,1028,10714,58
2020-02-02,19,4214,7602,277
2021-11-10,25,800,2305,202
2020-10-01,20,4638,9774,208
2021-04-05,19,1380,6262,466
2021-12-29,24,2182,1045,26
2023-07-15,27,1775,13482,455
2022-09-16,26,3652,1367,169
2021-01-28,11,2056,6879,374
2022-01-01,18,1983,5927,117
2020-07-24,10,2241,4010,21
2019-09-08,2,3568,8067,379
2019-01-04,19,2902,1271,59
2020-10-14,4,4849,4084,150
2019-04-23,16,1050,13314,202
2019-08-22,8,443,2174,372
2019-09-01,22,1421,3962,452
2020-01-21,20,4719,4147,334
2023-01-11,16,1953,2935,191
2022-02-08,22,2109,5714,457
2023-11-25,17,3186,5048,243
2020-03-24,22,3305,11622,430
2019-03-23,16,4945,14596,187
2022-01-13,14,1407,13148,187
2020-02-12,4,4299,2350,10
2021-12-17,2,1043,6050,159
2022-03-26,21,3176,6707,400
2022-12-27,10,4924,5595,136
2022-02-15,8,1980,7728,266
2019-05-08,29,1780,3185,221
2021-11-16,13,1841,7229,87
2023-08-30,15,891,12453,23
2023-11-27,30,3924,1565,181
2020-10-25,12,572,6023,98
2022-08-27,5,4446,1152,136
2020-05-01,21,4593,2891,24
2019-10-25,4,1310,14397,419
2021-04-09,26,1196,9788,438
2019-10-22,17,4858,10283,101
2023-09-05,14,886,4237,119
2020-12-20,24,494,6617,165
2022-03-05,20,4563,1978,315
2022-04-07,12,589,639,268
2019-05-17,8,2853,12377,455
2022-09-04,18,3899,1441,137
2023-06-21,20,676,14327,62
2021-02-17,9,1493,5843,438
2022-09-29,8,2706,866,442
2022-01-08,22,3937,1252,108
2021-01-25,15,2221,10267,257
2023-04-21,11,2583,4930,137
2023-02-15,23,2861,3383,416
2023-02-01,9,3059,8554,107
2021-07-09,14,973,6567,178
2020-10-19,16,4192,13727,371
2019-01-12,14,4489,11142,118
2021-12-17,13,1860,12554,473
2020-03-09,9,3233,629,344
2022-07-08,9,349,12202,331
2021-09-07,11,3879,4410,351
2022-02-27,11,2567,208,320
2020-01-01,15,1334,9897,254
2020-07-02,5,3453,9878,159
2019-12-23,29,475,7691,147
2021-07-25,22,4702,9554,171
2022-07-28,11,2953,7803,235
2020-07-16,21,1027,11603,98
2022-10-10,5,1849,4266,148
2023-12-25,8,2277,12022,351
2022-04-15,3,4473,8633,53
2020-11-19,18,598,11918,338
2020-04-27,5,3016,2565,75
2019-07-01,29,4647,6063,278
2022-05-23,9,2627,12329,364
2022-03-17,7,3923,7136,272
2020-07-12,1,2145,11049,334
2021-11-30,27,906,6393,465
2023-08-05,11,4402,10745,153
2020-07-29,2,1763,5745,399
2021-08-25,22,2023,11016,49
2020-04-03,23,359,1624,317
2021-08-28,4,1100,7660,308
2022-12-02,25,3960,13464,458
2020-01-05,16,4979,13397,137
2022-01-25,7,1607,4990,199
2022-06-09,28,1127,1674,204
2023-10-26,7,3111,11758,288
2022-03-02,3,4075,3251,281
2020-03-22,15,2288,11640,62
2019-01-01,19,2011,13232,327
2020-09-13,15,2269,7987,279
2022-10-09,10,3609,13182,176
2022-08-01,10,4688,1694,12
2021-05-13,19,4103,9646,349
2020-01-07,19,247,6241,66
2020-09-11,17,3834,6792,86
2021-09-27,23,4358,2349,479
2020-06-30,17,1775,8746,280
2022-08-11,20,1698,619,127
2019-03-31,25,1783,1914,165
2021-10-19,10,3570,6806,253
2019-05-16,3,4117,866,183
2021-01-12,28,3055,5323,406
2020-09-26,22,3941,9102,119
2021-02-20,17,1406,1830,56
2022-08-29,19,4789,2517,38
2019-06-22,1,2939,4557,42
2019-12-25,27,1436,4165,317
2023-07-30,19,281,13867,311
2020-02-19,5,4981,3976,383
2019-06-27,7,2292,11087,26
2021-06-23,24,2300,10347,348
2020-10-27,3,3135,11755,366
2019-01-16,17,512,7290,230
2020-04-30,8,3148,7990,342
2019-02-20,4,1394,10468,241
2022-12-13,20,4787,11005,217
2020-08-28,8,4958,6653,227
2022-03-04,2,4989,6548,270
2022-07-13,10,313,607,411
2022-08-03,15,298,1005,64
2020-02-05,11,1973,14719,359
2022-12-21,4,4418,7532,66
2021-09-12,17,1521,5695,285
2023-02-11,1,4713,5150,123
2021-08-02,30,4210,11263,449
2019-03-23,13,3788,13236,292
2020-03-29,29,2218,6310,235
2020-09-04,22,3657,1733,88
2021-01-03,10,752,11372,459
2019-04-02,11,4942,1068,364
2022-08-23,13,3163,9632,191
2020-11-01,8,1749,6453,362
2023-08-24,29,2463,9344,309
2020-02-04,3,1588,1119,82
2023-01-08,13,4288,857,288
2019-12-25,1,2401,829,153
2023-02-13,19,4073,8660,34
2022-09-04,7,2985,2911,73
2019-06-06,10,4900,12191,192
2020-10-24,24,2433,5332,48
2021-02-09,21,1726,11622,338
2023-12-21,11,163,10472,88
2021-01-21,6,2899,5826,111
2020-09-04,27,3415,5722,364
2020-03-05,30,1237,8908,101
2021-11-11,7,486,2216,79
2020-01-11,17,2359,13785,326
2023-06-11,8,4374,5347,256
2021-12-29,14,2024,14857,83
2020-10-17,24,1195,439,348
2019-02-18,26,1167,14404,86
2020-12-22,11,4967,8451,202
2021-03-15,26,1289,14716,101
2023-05-24,4,3563,1599,262
2023-12-30,21,265,5711,424
2019-07-20,24,3332,11487,443
2021-02-19,9,2899,4135,333
2021-10-13,17,2534,11052,267
2022-07-26,12,4655,12087,376
2023-06-20,5,3963,7398,308
2021-05-31,23,3962,7971,447
2020-07-06,13,1754,3292,58
