Date,Employee_ID,Store_ID,Sales_Amount,Target_Amount
2023-05-02,143,26,4964.64,3560.68
2019-11-12,204,73,1680.34,4122.18
2021-06-02,95,84,1601.42,2445.38
2021-09-11,289,73,609.78,4444.67
2019-12-21,389,84,1633.98,2057.35
2021-02-07,66,10,800.01,3151.88
2022-06-16,243,7,3892.69,5126.14
2022-09-23,132,81,2008.17,4229.49
2022-08-04,60,3,4336.49,3168.27
2019-09-19,271,2,4168.3,2968.23
2019-03-21,326,13,1329.47,3092.91
2021-10-15,68,86,1246.09,4924.05
2019-03-10,223,55,4976.63,2465.9
2022-08-15,336,75,2711.43,2520.52
2020-07-29,106,44,4841.87,1010.3
2022-04-14,158,70,605.49,2463.01
2019-02-15,179,63,1203.56,1787.04
2022-05-23,161,95,4262.27,2361.57
2022-03-31,213,83,3799.06,5268.69
2022-04-28,336,24,4256.49,4206.65
2023-08-18,226,85,3222.37,5895.55
2023-09-17,44,87,4681.88,5905.71
2022-10-27,257,81,3540.41,5254.96
2019-05-09,213,53,3408.08,5794.59
2022-08-21,206,55,3114.73,5433.15
2019-01-13,94,66,1460.74,5634.77
2023-05-23,127,55,2032.11,4920.41
2021-09-25,358,59,3681.14,3007.87
2019-08-31,261,55,3298.62,4930.21
2021-03-29,200,51,2229.82,3666.45
2022-12-31,208,97,3570.25,4669.27
2022-12-13,84,52,4352.68,1491.24
2021-10-14,74,14,3144.92,3587.41
2021-01-20,394,74,2374.16,5324.24
2022-10-18,199,49,2636.59,4807.29
2020-11-06,382,32,1430.82,1647.15
2021-10-26,6,51,3974.2,1767.92
2021-03-10,207,20,570.31,3272.34
2022-04-28,395,2,2972.8,1947.0
2019-01-11,148,70,3566.36,2398.63
2019-09-22,242,71,2466.51,5478.55
2023-07-08,32,4,4379.39,2797.05
2023-07-22,239,17,2475.61,4393.5
2022-06-26,189,34,2331.22,4788.14
2020-01-25,254,91,1029.62,2952.72
2020-10-01,390,94,2432.29,3516.33
2020-08-17,131,24,3432.47,2854.63
2023-01-04,271,47,623.13,4815.1
2020-11-13,8,82,2775.37,1292.94
2020-12-20,208,24,4783.26,4800.0
2022-10-28,385,84,4904.93,4304.86
2023-07-12,196,22,881.79,3764.57
2022-08-23,191,6,3399.05,2975.31
2023-11-09,116,37,1728.5,4999.91
2019-01-08,362,64,994.83,3037.12
2020-06-11,71,93,3273.66,1431.67
2023-08-22,322,77,1343.14,1434.95
2022-12-09,151,83,4610.24,5804.61
2019-03-26,95,29,2565.49,3096.61
2020-08-13,377,75,2790.12,4271.96
2023-08-17,197,62,687.26,2759.38
2022-07-05,226,94,1644.8,5457.93
2019-02-21,118,71,3399.89,1971.49
2022-09-13,181,28,2510.9,4771.44
2020-03-22,129,98,3473.99,3503.88
2022-06-23,121,97,829.45,5886.83
2023-01-17,239,86,4192.94,1954.26
2020-01-29,22,10,1720.47,2413.05
2021-07-17,361,93,4001.8,5858.4
2019-10-24,284,12,956.79,4726.24
2022-04-29,291,27,1122.38,3571.29
2019-06-02,394,62,1988.56,2690.19
2022-08-14,140,33,4525.2,2080.8
2020-12-02,235,40,3100.25,3794.03
2019-01-23,354,86,3717.43,2422.75
2023-08-15,4,7,1601.34,5527.1
2021-09-11,238,7,1444.98,5874.48
2019-02-07,380,36,3745.75,2564.44
2021-08-06,17,75,2481.15,3336.21
2019-03-15,258,73,3386.13,1678.14
2023-09-11,228,80,4983.42,5535.48
2019-07-31,391,51,3026.04,4625.18
2019-11-10,236,80,4625.13,1254.95
2022-05-29,365,68,1970.2,5719.15
2022-04-24,169,17,584.39,4689.73
2023-11-01,236,64,2594.79,4140.33
2021-05-31,159,34,2929.06,1462.21
2021-05-13,226,11,3633.0,1574.06
2023-06-25,251,11,3272.77,4852.87
2019-11-27,366,53,3782.16,1430.9
2023-04-02,99,10,1423.95,3040.2
2022-10-17,22,46,1796.76,5140.53
2023-04-11,396,85,3354.16,1907.33
2019-11-18,294,3,1593.85,1679.2
2019-12-19,194,38,1271.97,1348.57
2019-07-05,76,53,1194.36,3454.44
2023-09-23,109,3,2804.77,1965.21
2023-07-22,269,13,3487.27,1382.56
2020-01-06,188,61,3653.7,5126.29
2019-12-26,365,80,3047.54,3465.31
2019-10-08,46,87,697.99,4920.15
2021-11-26,78,35,2004.82,1666.35
2022-10-31,356,25,3948.75,3543.48
2022-06-26,145,56,4442.71,4806.1
2021-08-26,65,35,4121.37,2171.85
2023-04-03,361,52,3800.36,4898.57
2021-06-23,229,1,3168.56,5218.61
2023-03-08,345,58,4084.44,5784.75
2019-03-19,144,53,605.03,3274.41
2022-04-15,117,98,4435.99,1406.65
2023-05-06,222,1,1782.35,3671.01
2022-11-15,113,52,2029.88,1443.48
2021-02-04,358,42,758.64,4754.57
2022-04-22,399,84,4979.82,5173.94
2020-07-01,150,98,3806.07,1737.42
2019-06-18,86,82,3828.52,2972.88
2023-01-27,241,95,4645.99,1390.35
2022-02-03,341,71,4977.53,4130.47
2019-06-27,94,99,3566.18,2292.06
2023-06-12,77,15,3299.78,1617.15
2021-12-07,335,15,4197.76,2355.85
2023-09-03,223,66,3622.0,5348.55
2019-08-19,381,80,1025.96,1028.2
2019-10-17,244,30,3917.01,1556.88
2020-12-04,201,28,3610.36,3441.36
2021-03-02,352,86,3004.48,4525.81
2021-02-23,302,53,1193.81,4713.49
2020-06-10,251,99,1947.21,4275.71
2021-04-12,133,23,2868.64,2463.22
2019-11-28,354,20,2543.59,5486.8
2019-09-27,296,34,676.36,5786.18
2022-09-27,221,55,2653.13,4320.17
2019-12-30,258,48,3768.52,4185.21
2022-11-21,393,52,1878.31,1508.91
2021-10-30,359,20,2120.68,4817.7
2020-08-13,219,63,4487.48,4948.03
2020-09-09,328,75,631.71,5468.72
2019-06-12,344,65,2256.78,5892.49
2020-10-01,117,86,3243.58,5403.32
2020-08-29,43,60,2853.44,3233.42
2019-02-22,386,68,2818.01,4839.47
2019-01-23,141,33,1955.46,3808.34
2019-09-07,116,83,3907.86,1255.27
2022-09-27,379,67,1643.83,3155.37
2023-04-22,259,30,2618.76,5121.55
2022-06-30,383,83,3999.58,1727.2
2020-07-28,226,59,4680.79,2280.53
2021-06-20,311,60,1795.74,3110.13
2019-11-07,52,17,3876.01,2803.53
2020-05-14,7,69,2706.91,2611.69
2022-01-24,327,52,3472.68,2983.12
2021-07-01,263,90,4647.29,4062.91
2019-06-22,201,88,934.7,3607.14
2020-12-16,159,70,3851.93,2246.97
2023-09-13,293,34,3058.23,1192.07
2021-12-08,159,54,1085.62,2723.86
2023-08-31,31,3,871.42,1151.39
2022-10-06,373,70,1550.11,2129.03
2022-08-13,153,5,1222.83,5266.16
2022-01-26,3,55,3094.31,1185.18
2022-08-11,184,6,3708.22,1700.84
2020-08-28,387,80,1842.19,2349.61
2020-06-18,259,63,2188.26,4945.61
2022-08-19,288,94,1818.54,2135.92
2022-09-18,341,75,4859.73,2722.6
2021-05-10,75,87,924.6,2696.85
2020-02-12,109,76,1212.21,4863.76
2022-08-02,207,89,2206.1,3687.94
2019-12-16,121,99,1424.39,2031.74
2021-08-11,170,41,2845.74,4472.74
2020-09-12,146,91,2341.3,4953.07
2022-07-30,10,11,2228.41,3860.55
2023-06-29,302,27,2043.42,4791.18
2022-04-02,66,39,1887.37,3296.89
2023-08-27,270,48,2197.83,2462.61
2023-01-07,102,3,3029.51,2238.54
2021-11-25,4,20,4102.53,3131.99
2020-09-16,81,32,3186.93,1964.0
2022-03-25,317,63,1766.22,1460.78
2019-10-17,259,92,4727.21,5482.16
2021-02-03,45,81,2019.99,4293.2
2022-07-26,340,67,2481.89,5753.71
2021-01-15,389,76,3492.75,1224.73
2021-01-05,210,40,860.27,5423.04
2020-04-01,58,32,2080.05,2377.18
2021-01-02,308,37,2211.75,3696.31
2023-06-27,299,67,664.35,4663.09
2020-08-04,400,85,3896.84,3939.24
2020-10-10,181,99,2007.22,4610.22
2019-06-26,217,53,2512.48,5125.88
2022-01-29,26,23,551.38,3162.92
2019-03-15,74,84,1483.41,5695.3
2020-09-13,107,8,2860.61,4233.3
2023-11-21,361,9,2521.33,4218.14
2023-10-20,295,68,838.6,5508.87
2023-07-05,208,74,1950.0,5594.35
2020-03-23,66,73,4203.39,1328.55
2023-04-18,49,19,1718.83,3097.35
2019-05-19,235,59,4290.86,2646.95
2019-07-27,121,92,1317.82,1637.23
2019-09-29,140,62,2381.56,2993.31
2021-02-25,25,11,535.85,4266.72
2023-01-27,293,14,4693.88,1126.47
2022-10-19,263,87,4577.22,4403.75
2023-03-22,227,58,4026.55,1466.53
2023-04-29,163,73,3542.42,1391.17
2019-02-22,295,42,3436.58,2726.81
2023-01-09,104,62,3887.14,4847.28
2022-08-06,335,43,2385.34,4903.88
2020-02-24,104,58,2637.18,4960.2
2020-12-20,344,92,2292.46,3284.58
2019-04-03,381,38,4793.35,2656.63
2020-07-31,5,42,2005.28,1343.55
2020-12-11,283,54,4994.39,2094.84
2020-08-18,124,1,3829.28,1250.28
2020-07-04,189,83,2968.03,5523.66
2020-12-18,97,64,3209.72,1912.06
2023-05-18,189,53,3433.47,2711.95
2022-04-26,282,77,3668.06,1218.98
2021-04-04,390,64,637.06,1077.95
2022-05-13,359,43,4513.79,1766.21
2020-09-11,210,73,1324.99,1196.45
2023-12-02,308,5,4900.72,5431.75
2021-11-27,136,32,2880.02,4705.16
2019-09-27,242,41,4233.04,4545.47
2022-01-12,145,12,1334.29,1029.9
2022-11-12,14,31,1845.36,4641.36
2023-07-30,144,34,3822.85,5743.0
2021-12-08,115,99,3605.04,5289.24
2022-07-01,268,91,4052.84,3931.23
2021-09-06,399,47,2641.55,1883.72
2023-06-30,269,32,1152.24,5524.82
2020-04-01,366,57,3318.89,1188.52
2019-09-04,367,38,1047.89,1264.5
2023-08-28,386,66,1846.44,2229.92
2019-09-19,125,27,4388.35,2072.12
2019-05-17,127,66,4582.35,1282.98
2021-12-24,252,60,4981.64,2993.92
2019-03-24,400,64,4788.5,4407.18
2022-08-29,261,40,3332.13,2586.38
2023-09-04,379,29,3458.02,4954.18
2020-02-27,187,50,1914.0,2534.11
2023-04-11,59,74,4009.35,1662.48
2021-02-19,258,83,3588.73,2162.32
2021-09-04,207,30,3610.05,2386.78
2023-07-07,238,63,1174.52,4852.73
2023-08-15,173,1,2197.09,1212.76
2019-03-27,398,70,911.83,5083.14
2019-01-08,144,87,1570.04,5935.45
2021-12-15,241,43,3268.85,2549.41
2020-12-18,64,37,983.36,2992.59
2019-01-23,304,100,2004.97,5159.14
2021-01-25,94,68,2965.74,5159.99
2022-11-16,389,16,790.06,3067.72
2023-04-19,202,28,4544.02,4126.18
2023-09-18,204,7,4982.33,5316.79
2022-02-26,253,49,3346.76,3900.69
2023-05-27,161,30,3888.05,1809.15
2020-01-03,84,27,1993.76,4057.61
2023-09-10,216,55,667.42,1077.34
2019-02-03,40,23,3025.2,1072.4
2022-08-25,299,85,3971.29,3128.07
2022-03-23,332,84,1174.98,2495.97
2019-07-23,109,91,4674.33,1309.53
2021-10-15,188,87,2163.04,1715.57
2020-12-29,69,44,2704.61,2651.72
2019-08-22,330,18,3808.84,2471.04
2023-05-01,247,75,1458.93,3669.74
2023-04-12,358,71,4361.98,4592.35
2019-03-01,365,98,1894.29,2120.94
2020-08-03,145,90,4190.66,5687.69
2019-07-07,92,68,1587.83,4348.31
2019-11-25,166,56,3214.48,3478.32
2022-04-27,224,80,966.65,1167.49
2020-05-20,346,20,2457.82,4659.74
2019-08-06,213,86,4151.0,5814.89
2020-05-07,330,86,2837.83,1992.87
2020-11-23,206,17,1762.77,5472.38
2019-02-01,25,90,4979.45,5987.62
2021-03-26,400,61,2674.61,5280.52
2021-08-08,299,34,2210.35,3358.92
2019-11-29,120,40,922.48,3733.25
2022-09-06,392,24,1081.66,3936.94
2019-07-12,155,59,2010.43,3662.51
2021-09-06,388,29,4417.8,1394.79
2021-03-28,363,89,3493.81,1239.85
2022-02-08,55,34,1689.34,4223.36
2021-11-27,154,64,4625.26,3243.16
2023-03-21,102,44,4277.65,2080.22
2023-06-02,210,72,599.39,1002.51
2023-09-06,352,71,2770.62,5577.05
2022-07-22,67,76,2958.7,1885.49
2020-01-22,77,51,2992.95,4993.65
2023-11-17,368,1,2274.03,5262.65
2019-03-18,250,68,3036.1,2737.24
2019-12-15,330,24,3580.72,5747.98
2019-09-22,383,23,567.8,5988.58
2021-12-16,87,17,1691.21,1296.9
2019-08-08,353,22,1102.82,3952.58
2019-08-03,279,65,3890.51,1306.35
2020-01-29,320,12,3728.32,3573.79
2020-12-30,338,12,2647.66,2009.56
2022-02-03,246,76,4060.56,3946.94
2019-01-20,136,31,1233.93,4765.33
2021-02-17,300,62,958.04,4255.28
2021-04-13,158,11,4290.67,4904.57
2022-11-19,325,35,4289.46,4796.05
2020-03-27,16,98,3566.8,3936.22
2020-07-24,192,16,1712.3,4710.68
2022-08-25,234,31,825.4,5651.04
2019-07-07,178,27,1302.95,1402.53
2020-07-10,169,28,3801.35,2469.39
2023-11-13,240,52,4270.94,2053.21
2019-08-22,257,21,3543.5,4831.46
2019-12-16,19,28,4362.78,2481.9
2023-05-09,34,94,3353.22,2270.74
2019-04-05,385,45,4089.63,3068.83
2019-11-17,329,27,2319.09,5582.71
2020-12-28,214,19,3318.13,2127.72
2023-06-19,363,5,3239.81,3554.63
2022-08-16,41,56,3354.44,2176.77
2019-12-28,321,13,4340.56,1134.91
2023-10-16,254,28,3416.48,2293.65
2023-06-27,263,71,1367.78,2814.8
2022-07-03,285,92,3454.09,3040.88
2021-09-19,384,52,4597.36,1759.69
2019-12-21,265,1,2054.36,1878.69
2021-06-23,307,49,3789.54,4280.53
2022-05-07,244,10,3126.72,3341.57
2020-11-13,140,77,2187.02,4135.25
2019-12-19,146,83,3567.46,1698.16
2022-12-02,17,40,1756.7,5230.72
2021-12-07,164,60,1712.93,5221.91
2019-12-10,155,49,1504.02,3257.26
2020-12-24,12,66,1684.98,3045.94
2021-02-02,379,68,3885.81,4308.64
2019-06-26,183,79,3809.97,2005.58
2021-04-26,341,23,694.2,1611.01
2020-11-25,52,97,2299.83,5189.51
2021-07-02,187,62,4453.19,5133.58
2023-02-24,222,85,3154.51,2188.18
2022-12-10,358,41,3030.93,2781.68
2020-05-14,148,20,4424.37,2085.86
2019-07-22,160,70,2799.42,3418.34
2022-01-31,209,75,4208.44,3004.42
2021-12-16,115,4,626.46,2981.32
2022-08-03,354,88,575.97,1581.92
2022-11-01,94,11,3689.94,5869.96
2021-02-25,331,32,1577.85,3231.81
2021-05-28,14,62,1133.76,3390.64
2019-11-16,51,4,3272.2,3725.69
2023-05-20,266,84,1398.13,2343.88
2021-07-09,281,11,2896.08,5033.45
2019-02-21,112,90,4467.31,5889.11
2019-03-22,352,82,974.32,4081.0
2020-09-13,335,76,2709.14,2096.11
2022-02-26,63,48,1950.77,1638.93
2023-12-25,166,65,4617.82,4056.71
2020-08-04,304,34,3940.07,4153.96
2019-04-29,95,80,762.57,5832.41
2019-02-21,46,88,1863.28,1037.86
2021-11-21,191,2,2649.33,4134.76
2021-09-07,322,84,905.42,2023.05
2019-08-03,45,61,663.94,5806.55
2021-01-03,392,7,3370.11,4979.19
2023-02-05,327,13,3643.6,2958.62
2020-01-06,353,65,1118.84,5532.91
2022-05-28,24,39,791.28,4072.76
2021-05-07,256,43,592.93,1869.78
2019-06-21,56,3,1030.3,3823.37
2022-01-16,354,84,2850.33,1733.3
2022-11-04,235,92,983.31,2012.83
2019-06-13,327,32,2710.92,4129.19
2020-12-28,197,93,1941.08,1923.11
2023-03-04,64,8,4396.14,4891.91
2023-05-31,54,66,1364.71,4314.23
2019-05-31,224,61,619.14,1471.07
2021-08-12,235,16,4347.58,4899.33
2023-12-24,263,45,622.86,1359.33
2023-08-11,175,100,2149.94,4886.72
2020-05-10,173,73,4512.71,4659.06
2020-05-29,17,37,708.67,4428.81
2019-03-17,36,48,3733.38,3698.88
2021-11-26,346,52,2158.03,3388.42
2019-08-15,265,49,665.7,4738.2
2021-11-25,363,43,2108.66,1969.84
2022-07-22,126,58,814.94,2704.71
2023-05-20,199,87,1006.66,4868.47
2020-06-20,400,26,2750.6,4004.55
2019-08-19,53,82,2159.14,2158.45
2020-10-15,319,86,936.44,3842.24
2022-03-26,393,79,2659.42,4371.69
2019-02-23,330,24,2589.0,3029.77
2021-05-26,38,42,1061.22,3836.81
2023-01-03,87,83,2376.68,5193.62
2022-08-25,14,98,2768.99,3210.04
2020-11-07,86,30,3021.42,3316.58
2022-05-07,170,53,1047.43,5099.12
2022-10-12,42,29,3443.8,1250.7
2021-11-25,398,93,1449.29,1573.02
2022-12-10,299,26,2906.79,1483.75
2020-09-21,58,52,870.78,5406.65
2019-03-28,229,74,2303.09,4616.54
2021-09-11,377,18,4483.45,2558.6
2019-12-02,82,89,4696.15,2860.65
2019-09-18,328,49,2086.36,5676.01
2021-05-28,73,83,3063.76,5866.03
2023-06-26,100,4,3143.72,5071.48
2022-01-12,225,33,3280.5,4639.05
2021-08-14,188,29,1267.56,3500.72
2023-12-28,52,43,3053.12,5250.86
2023-06-18,35,1,3642.09,5044.54
2023-09-24,113,51,2226.65,3544.34
2019-08-01,114,95,3740.39,2685.43
2020-09-18,21,89,2859.38,3997.23
2019-05-05,126,84,3180.65,1236.22
2021-09-17,234,75,2071.75,5255.5
2021-11-17,21,37,2462.81,5424.33
2021-05-08,357,17,1242.34,3842.33
2019-05-19,188,17,755.66,4934.11
2020-11-25,32,63,3392.36,3173.84
2019-08-30,38,33,4205.25,3975.33
2020-11-30,232,37,775.12,2582.24
2021-08-09,66,23,4138.42,1069.86
2021-05-22,124,46,4025.12,3953.8
2022-10-13,308,5,1502.6,1544.75
2019-03-29,122,17,3364.43,4645.72
2021-10-25,283,25,4059.54,5711.53
2020-03-04,2,31,2687.22,4758.97
2020-05-29,334,47,4397.55,3010.14
2020-02-08,131,46,1775.99,2623.69
2019-06-09,386,13,3933.06,4191.98
2023-05-29,209,63,2387.53,4320.31
2021-04-11,198,44,2937.63,5072.95
2019-11-10,352,56,989.57,3070.79
2020-05-25,63,86,2460.43,5120.4
2021-08-19,322,78,1259.24,1971.49
2021-03-12,102,82,4778.51,4331.92
2019-08-22,297,19,2625.68,1694.61
2023-06-12,152,75,3613.59,1931.62
2020-11-09,333,64,1909.7,5599.68
2020-07-12,224,64,2573.81,1138.63
2021-08-04,345,72,791.93,2846.0
2019-12-07,340,60,2508.63,5630.02
2022-09-26,117,74,969.61,5052.56
2020-03-20,34,31,1935.78,5179.6
2022-04-29,157,69,807.8,2357.89
2019-10-16,193,8,4837.52,4535.56
2019-11-27,180,41,2990.97,2951.07
2020-11-15,14,2,4902.1,4544.97
2023-06-23,140,98,1242.32,3833.97
2022-11-05,78,2,4503.49,5777.88
2019-08-16,378,69,1884.02,1046.22
2023-09-28,338,38,2885.26,2321.5
2019-02-28,171,24,3607.73,2438.91
2021-03-05,184,8,3182.66,4984.18
2021-12-09,227,91,3880.8,2528.02
2020-06-09,258,14,4765.32,4964.1
2022-11-08,362,6,3229.11,3653.0
2019-09-09,72,9,2697.72,1893.46
2019-12-08,159,84,1384.5,3595.37
2023-08-27,72,62,2958.71,4302.08
2020-06-04,238,57,4050.6,4223.31
2019-04-17,60,53,687.18,3119.78
2022-07-08,50,47,2747.42,2032.61
2020-09-21,33,10,1111.44,1392.68
2019-07-05,338,53,2400.03,5118.94
2021-06-09,51,85,4801.4,4697.85
2022-08-19,317,43,2777.88,1721.78
2022-09-26,166,77,844.02,2750.09
2023-10-04,11,97,2665.92,1784.53
2022-09-06,389,80,1188.71,5624.99
2022-06-27,225,49,2378.35,4719.87
2020-07-21,328,51,4126.71,5742.65
2021-11-10,14,58,4492.32,2958.93
2020-03-16,291,51,1912.31,4334.88
2019-10-28,57,44,4980.19,2962.97
2023-03-04,230,15,4066.32,3948.63
2020-01-22,242,17,3874.9,2934.49
2023-11-04,294,70,3921.87,2447.43
2023-09-29,264,52,3480.09,2658.82
2020-10-01,165,89,2990.51,1677.92
2021-08-10,304,73,2145.84,4578.63
2019-07-02,59,69,3453.19,3221.66
2022-06-11,321,62,3409.8,1289.68
2019-07-01,200,64,3721.33,4344.95
2021-08-17,328,40,4114.49,3309.5
2019-02-24,9,54,3958.92,2154.66
2020-10-22,340,96,735.35,2781.41
2023-02-21,48,82,1792.86,2088.74
2022-12-31,369,32,2532.61,5524.18
2022-06-15,195,60,3057.42,3351.61
2021-05-09,168,78,1869.44,2212.52
2023-06-14,167,60,4597.21,2148.88
2022-03-12,367,45,3081.28,5643.57
2022-06-14,400,52,1978.59,1087.06
2022-09-14,64,31,4105.07,3152.2
2022-02-23,235,14,1172.62,4065.37
2020-09-09,267,41,2595.57,5829.03
2020-06-01,49,98,1274.84,5857.79
2021-06-06,94,89,3211.26,4999.14
2022-03-03,237,74,731.05,4253.9
2020-05-27,200,35,825.24,2090.43
2020-03-02,96,82,4158.15,4160.86
2019-09-21,216,99,1639.74,1016.92
2021-08-27,82,45,3595.66,5882.03
2021-03-10,254,85,3191.93,5753.25
2019-12-25,321,42,3650.36,4835.06
2022-05-02,233,32,4564.89,3626.34
2019-01-21,36,32,1288.85,4069.17
2019-08-22,366,5,2144.33,5185.39
2021-12-10,51,62,2125.62,4001.6
2020-06-15,315,86,1577.45,2486.31
2019-11-12,257,16,3179.75,1050.77
2021-05-31,147,86,3437.99,3273.82
2019-11-27,301,13,3476.0,1407.83
2021-02-12,280,45,963.11,3178.5
2019-03-30,16,49,4727.65,1482.43
2021-06-27,187,96,2320.76,5858.42
2021-04-27,45,68,4912.92,2490.16
2019-09-06,19,5,2580.87,2748.24
2019-06-20,100,73,2836.84,3448.93
2020-06-14,184,95,2498.53,5208.33
2021-02-21,121,64,3110.82,3046.04
2019-09-06,296,5,920.36,2191.99
2023-11-20,165,52,4030.18,4322.5
2023-04-25,248,11,1896.4,1343.66
2022-04-16,293,64,1233.98,1648.37
2023-03-31,195,23,4801.73,5913.48
2019-05-04,320,29,3196.78,4417.66
2020-06-27,163,88,3449.45,1796.44
2023-06-21,197,83,1171.16,2296.19
2020-01-23,205,21,3878.09,2001.77
2020-04-08,65,32,1953.08,2600.02
2019-06-09,311,16,2303.43,5747.94
2021-10-11,322,38,4494.93,3385.04
2019-12-28,252,9,1743.17,4181.17
2022-07-07,280,3,4004.66,2079.63
2021-11-05,334,5,3647.09,1252.17
2019-12-07,149,46,1738.31,3393.6
2023-02-07,370,45,3606.84,3910.1
2019-12-26,90,87,3725.9,1871.2
2023-03-22,142,41,3355.41,1945.57
2019-04-02,250,50,4002.08,4941.84
2020-05-26,327,67,705.02,1298.4
2019-10-07,79,18,3800.31,1161.39
2022-05-11,317,60,3028.17,3436.7
2022-03-27,121,6,4918.98,4634.16
2019-03-17,13,27,921.03,5187.88
2023-05-12,156,46,1889.53,3909.51
2019-04-12,92,50,1764.83,3296.61
2022-11-12,91,20,1782.74,2408.44
2021-02-17,15,57,4451.33,5473.21
2020-07-15,362,18,4179.51,1358.98
2022-05-05,328,97,762.98,5228.26
2022-06-05,42,9,3171.09,1532.79
2019-10-09,234,42,3317.06,3191.67
2021-01-28,262,67,2252.44,3047.81
2022-09-05,121,71,2989.27,1318.54
2023-05-28,384,66,2635.93,2528.91
2020-06-26,240,69,2593.98,1990.49
2020-05-09,394,18,2424.46,1473.82
2020-07-23,280,47,1037.83,1391.32
2021-11-03,106,43,1009.39,1758.05
2019-05-21,259,64,595.18,3983.66
2022-04-20,312,95,1677.68,2008.66
2021-02-16,369,43,3700.05,5533.96
2019-11-29,184,33,1363.19,3479.16
2023-01-12,109,60,507.43,1520.33
2023-02-22,280,51,2483.4,1304.95
2019-07-28,386,36,3301.24,3609.44
2022-08-31,44,73,2460.46,5369.0
2020-09-14,211,86,1278.64,3064.15
2021-01-21,42,45,1404.46,2255.55
2021-02-28,79,61,4764.94,3148.47
2021-02-08,93,19,3329.91,2198.07
2020-06-25,127,95,4926.34,2362.28
2023-10-31,138,82,2566.59,2786.66
2019-03-05,76,39,2839.91,5138.81
2020-01-20,127,84,4987.36,4906.44
2022-02-06,144,37,2581.88,4913.77
2023-12-11,311,36,4744.96,2114.38
2023-01-01,232,43,3734.88,1479.53
2019-09-10,313,41,1602.5,2627.83
2019-03-21,159,15,1942.27,1208.15
2022-09-12,20,59,3766.47,1474.96
2021-02-18,386,96,2804.18,2723.79
2020-08-14,240,82,4190.18,5453.85
2023-11-21,329,18,2809.0,1907.15
2023-04-27,344,22,781.8,2415.2
2020-11-17,347,76,3793.11,3897.29
2022-05-02,371,62,4823.31,2163.28
2020-11-29,179,97,2272.76,4851.51
2023-04-19,84,43,3897.94,4805.72
2021-03-05,276,49,2281.12,5883.15
2019-10-20,308,35,4121.61,2113.27
2021-11-13,244,15,4996.58,5793.87
2020-10-20,285,36,4884.78,3552.03
2021-11-12,162,93,3787.64,1602.88
