Order_ID,Date,ShippingMethod_ID,Warehouse_ID,Delivery_Days,Shipping_Cost,Late_Flag
60342,2022-10-18,2,6,1,47.63,1
14362,2019-05-05,2,8,3,20.19,0
13661,2021-07-19,3,2,11,4.99,0
89976,2019-12-12,2,5,2,44.52,0
63860,2019-08-16,2,10,2,3.2,0
88061,2020-02-04,3,3,8,20.85,0
87232,2019-11-01,2,10,12,41.04,1
58985,2021-05-25,2,6,9,8.84,0
94070,2021-12-28,3,9,12,20.54,0
69458,2021-07-08,2,8,11,20.36,0
61950,2021-05-04,1,6,11,23.96,0
77558,2020-03-21,2,6,11,23.44,0
77331,2019-03-05,2,3,7,22.9,0
26677,2019-01-07,3,8,4,32.2,0
61939,2019-03-07,3,3,11,8.22,1
60706,2020-10-20,1,2,5,32.48,1
69449,2022-12-19,1,2,13,7.04,0
36015,2019-11-07,2,1,11,46.61,0
76386,2020-04-21,2,10,6,49.15,0
49101,2022-02-13,3,8,4,16.28,0
61157,2020-07-11,3,10,1,27.5,0
55908,2021-02-20,1,7,11,18.25,0
60310,2019-09-29,3,6,6,31.19,0
85257,2022-12-15,3,3,4,10.6,0
42744,2022-04-25,2,8,12,19.96,0
97988,2019-05-22,1,9,2,46.56,0
6359,2020-11-07,2,5,5,21.6,0
37011,2022-09-22,2,2,4,45.3,1
94807,2020-10-21,2,4,12,12.77,0
66705,2019-11-22,3,2,8,2.05,0
7018,2021-04-11,1,2,2,28.14,0
32252,2019-02-18,1,10,13,36.4,0
8970,2021-05-07,2,10,2,3.03,0
44007,2021-02-04,3,8,10,24.82,1
56059,2021-07-23,1,2,10,2.29,0
53613,2019-02-08,3,9,4,41.26,0
57602,2023-07-11,2,3,12,6.81,0
26147,2019-10-10,2,2,6,8.4,0
83414,2022-09-23,3,10,3,8.84,0
32163,2021-06-16,3,2,8,39.1,0
19250,2023-07-31,3,9,2,29.9,0
89212,2023-11-18,2,2,10,16.69,0
65205,2023-03-16,3,4,5,23.76,0
91895,2020-01-01,2,8,13,26.26,0
72636,2020-10-21,3,3,9,4.49,1
49647,2019-03-24,3,7,9,31.45,0
92066,2021-07-22,3,5,7,33.49,0
76227,2021-05-08,1,4,13,21.38,0
89548,2023-11-27,2,3,8,32.38,0
27554,2021-05-04,2,2,7,24.2,0
9907,2020-08-14,1,2,12,7.69,0
96736,2020-09-20,3,6,8,38.98,0
16360,2022-01-25,1,10,12,24.96,0
93121,2019-03-10,3,2,3,20.5,0
50713,2021-10-05,2,5,9,6.5,0
21650,2022-04-04,3,2,8,18.92,0
79240,2021-04-30,1,6,12,42.05,0
65869,2019-05-05,1,5,2,2.18,0
79017,2022-06-13,2,3,5,34.03,0
6527,2022-03-12,2,7,9,7.46,0
94098,2022-03-21,2,2,13,49.19,0
33201,2023-04-12,1,3,12,14.37,0
31444,2022-06-05,1,4,10,45.57,0
2609,2020-01-04,1,8,2,12.0,0
1519,2020-10-04,2,7,3,21.98,1
93837,2022-09-07,1,9,6,25.57,0
84130,2021-02-15,3,5,2,49.76,1
17635,2019-05-06,1,4,1,47.84,0
57395,2021-11-03,2,4,8,41.02,0
17035,2023-04-04,2,5,8,25.4,0
82384,2022-09-02,2,5,5,42.08,0
56774,2019-06-14,1,4,9,18.34,0
12563,2019-10-02,2,5,11,24.76,1
31168,2021-01-28,2,3,3,6.58,0
44673,2022-01-05,1,1,11,45.48,0
17095,2019-05-01,1,10,8,31.67,0
60034,2022-04-30,3,6,6,25.79,0
68065,2021-12-07,2,5,12,6.63,0
51587,2023-12-20,1,3,10,34.63,1
96798,2023-01-29,3,10,10,4.71,1
71578,2020-05-27,1,2,10,5.17,0
13024,2021-12-25,1,8,8,30.93,0
76375,2023-09-09,2,4,9,45.52,1
15170,2020-04-22,1,7,4,49.91,0
84107,2023-10-01,2,7,3,2.53,0
66976,2019-09-26,1,4,3,28.07,0
3479,2020-02-10,2,2,2,24.14,1
40500,2022-08-11,3,8,6,3.95,0
83311,2020-01-22,2,8,9,5.06,0
56278,2021-08-06,3,3,13,11.92,0
36024,2023-03-17,2,10,6,12.2,0
62395,2023-09-08,3,3,13,31.69,0
65017,2022-12-23,1,7,13,23.69,1
45646,2023-07-19,1,2,5,33.47,0
96355,2023-12-26,2,2,5,4.74,0
28556,2021-11-09,3,9,5,24.14,1
75446,2022-08-19,3,1,13,24.19,0
74198,2020-08-27,3,4,2,46.99,0
52028,2021-02-06,3,10,8,41.99,0
75717,2022-12-06,1,2,6,31.13,0
13826,2019-02-19,2,5,3,9.53,0
53171,2019-03-31,3,4,3,29.6,0
30313,2020-06-23,1,5,12,47.82,0
35569,2019-02-09,1,6,3,4.4,0
67318,2019-04-30,1,8,8,24.11,0
45035,2022-11-24,1,10,5,30.8,0
50485,2023-07-07,3,3,9,31.89,1
47604,2022-07-16,1,1,13,22.53,0
86068,2022-12-20,2,1,13,27.89,0
99762,2023-10-02,1,8,10,5.46,0
20173,2022-09-03,3,8,4,5.44,0
79896,2022-05-15,2,9,11,45.46,0
97480,2022-04-15,1,10,9,41.43,0
24938,2023-01-30,2,6,1,4.95,0
10074,2023-10-21,2,8,4,35.14,0
58028,2023-03-02,2,4,4,48.4,0
69435,2020-05-15,1,7,11,21.14,0
96042,2021-02-12,2,1,8,23.23,0
70145,2020-11-15,3,7,8,42.27,0
33634,2020-08-10,2,5,11,26.93,0
77176,2020-11-21,1,2,4,43.48,0
7467,2020-06-03,2,2,6,9.94,0
13051,2023-05-20,2,7,5,26.21,0
54455,2022-11-13,2,5,10,43.37,0
53468,2019-05-11,1,7,7,37.21,0
72004,2021-04-06,3,9,10,6.6,0
62631,2019-06-04,1,6,5,16.43,1
34079,2021-08-21,3,6,7,5.08,0
27125,2023-05-14,3,9,10,48.99,0
80810,2021-03-12,3,6,9,39.51,0
35928,2022-11-21,2,6,8,17.14,0
19632,2019-03-21,2,9,3,30.0,0
12956,2019-06-02,2,10,11,30.87,0
91806,2019-10-08,1,5,3,35.94,0
95523,2020-09-05,2,3,11,34.2,1
69415,2023-11-18,1,8,7,40.06,0
25448,2023-01-04,3,4,10,39.09,0
30048,2019-10-31,3,3,7,47.13,0
74598,2023-08-27,1,1,1,16.29,0
44653,2022-11-22,2,6,1,39.0,0
66111,2021-04-03,1,2,7,17.62,0
79862,2020-12-15,1,9,9,17.33,0
84588,2023-09-05,1,1,2,27.92,0
90141,2019-06-14,3,10,11,26.68,1
87148,2023-01-21,3,8,7,49.64,0
69717,2021-07-10,1,3,2,48.69,0
23666,2021-12-08,2,3,6,17.51,0
102,2023-06-17,3,2,3,19.18,0
65542,2019-06-13,3,9,1,36.86,0
94072,2022-02-10,2,3,12,4.24,0
63781,2022-12-07,3,6,6,20.83,0
43020,2019-01-31,3,9,2,11.26,0
18718,2019-12-01,1,5,9,13.38,1
72167,2021-11-07,1,10,1,19.77,0
21296,2019-11-16,2,6,1,38.25,0
80883,2019-07-08,2,5,3,24.66,0
37323,2021-10-10,1,6,10,35.52,0
9304,2022-11-10,3,1,5,47.09,1
74893,2020-01-28,3,1,2,34.41,0
78549,2020-03-03,3,4,11,26.91,0
49362,2022-11-16,2,5,5,7.86,0
31274,2023-10-14,3,10,12,47.42,0
42961,2021-12-10,1,8,13,36.64,1
15730,2019-06-22,3,9,9,10.53,0
64658,2021-03-18,2,4,12,30.3,0
54273,2020-12-21,2,4,11,7.31,0
4332,2019-01-22,3,2,1,41.0,0
14983,2021-09-01,1,5,3,6.5,0
78665,2023-04-20,3,1,10,40.75,0
28750,2019-06-23,3,10,10,20.13,1
2199,2021-09-21,1,3,11,30.06,1
17021,2023-09-20,2,7,10,47.31,0
80391,2021-03-11,1,3,6,39.05,0
5881,2019-01-01,1,9,2,20.52,0
39007,2019-04-20,2,1,9,23.42,0
97873,2021-02-11,3,7,10,31.57,0
98528,2019-09-08,2,6,6,17.93,1
72403,2020-10-14,1,5,9,46.22,0
27417,2019-09-05,3,6,8,22.13,0
34646,2022-08-25,3,8,3,7.89,0
67857,2023-05-20,3,7,10,47.53,0
53034,2022-05-11,2,4,12,14.8,0
20796,2020-10-23,1,6,5,44.58,0
50878,2020-06-22,3,1,1,45.49,0
91818,2021-03-12,1,2,5,20.31,0
36937,2021-03-28,1,10,2,23.45,0
27752,2022-07-30,1,4,12,41.82,0
39681,2020-11-30,3,10,7,25.56,0
31751,2021-04-01,1,9,8,28.08,0
78841,2019-03-17,3,10,2,36.14,0
29593,2019-09-11,3,6,8,25.38,0
52386,2021-10-18,2,4,5,22.9,0
81504,2022-11-18,2,7,8,48.4,0
89239,2023-02-09,2,10,5,23.27,0
15125,2020-11-11,2,9,13,21.19,0
29333,2021-03-06,3,9,7,10.84,0
84246,2021-01-26,3,10,5,47.79,0
74469,2023-02-17,1,2,11,41.74,0
25537,2019-09-14,1,3,4,39.67,1
41045,2019-11-05,1,10,9,42.86,1
43355,2022-04-26,2,8,1,3.68,0
46894,2020-01-12,3,2,5,23.17,0
71651,2019-10-04,2,3,10,40.8,0
67356,2023-05-25,3,3,3,14.58,0
51370,2019-02-05,1,7,11,40.12,0
37431,2021-12-29,3,4,8,25.55,0
16678,2023-11-18,2,10,10,19.21,0
26099,2023-01-08,1,8,13,35.67,0
73524,2019-08-04,2,10,7,32.16,0
7656,2020-11-04,2,1,11,16.36,0
23294,2020-08-22,3,1,2,34.09,1
87558,2023-11-25,2,4,11,31.37,0
12283,2019-03-05,1,3,3,32.24,0
85381,2019-04-16,2,9,12,29.25,1
35814,2022-05-07,1,7,3,29.32,1
48579,2023-12-08,1,3,10,3.97,0
28359,2019-11-01,1,1,1,47.2,1
96780,2019-10-19,1,7,8,45.55,0
7896,2019-04-06,3,2,3,33.94,0
8569,2022-03-24,3,6,4,25.35,0
5079,2022-12-16,2,8,3,48.11,1
83928,2019-02-03,2,8,1,25.01,0
58533,2022-03-14,3,10,10,17.74,0
64439,2021-06-06,1,9,10,14.97,0
19139,2019-07-06,3,10,12,15.11,0
45185,2019-01-30,2,6,6,24.79,0
94989,2019-03-30,2,1,4,44.9,0
81606,2020-07-13,1,7,4,13.1,0
46192,2020-02-11,3,2,7,13.18,1
65706,2020-09-24,1,6,2,25.45,0
51632,2021-08-14,1,1,4,48.97,0
29085,2020-07-07,3,1,2,27.24,0
43473,2023-04-20,1,5,13,28.99,0
50294,2023-03-10,3,10,4,41.92,0
93968,2019-10-08,3,10,5,37.83,0
18865,2023-08-13,1,2,4,8.5,0
31470,2021-08-21,1,2,12,25.87,0
14717,2019-03-25,1,9,5,7.24,0
584,2019-12-09,2,1,2,42.04,0
77923,2020-03-13,2,1,6,8.94,0
24130,2022-12-04,2,6,13,32.54,0
55529,2021-06-08,1,3,10,43.46,0
3998,2020-08-10,2,9,11,48.12,0
17569,2020-12-19,3,6,2,45.19,1
23318,2021-08-22,1,2,12,19.89,0
42427,2023-07-01,3,7,13,20.5,0
16456,2019-04-15,1,1,7,42.17,0
45290,2023-09-26,3,1,6,4.04,1
75815,2022-12-30,1,6,3,10.96,0
34858,2022-12-18,1,9,7,17.19,0
77964,2020-06-10,1,8,8,14.27,0
38090,2021-02-18,1,10,2,40.54,0
17546,2021-01-11,2,9,9,40.93,1
17399,2019-01-27,1,6,7,3.04,0
49682,2022-04-01,3,4,7,25.73,0
91737,2022-09-15,1,8,3,49.73,0
77627,2019-11-06,1,7,3,7.9,0
17913,2022-04-23,1,10,7,21.45,0
58965,2023-12-30,2,10,8,18.41,1
45446,2020-06-29,3,8,7,30.48,1
41967,2019-06-21,2,5,6,20.66,1
73647,2023-10-02,2,1,4,18.11,1
20962,2022-12-28,1,6,9,49.37,0
18749,2019-01-25,3,8,1,12.35,0
2732,2019-09-06,2,10,4,17.88,1
94593,2020-03-28,1,6,7,20.0,0
61841,2023-04-01,2,8,4,46.24,0
85719,2022-01-29,1,7,3,16.71,0
60245,2021-07-19,2,4,11,24.12,0
63402,2020-02-08,2,4,2,44.52,0
10855,2023-02-10,2,2,3,38.84,1
97039,2019-06-13,2,7,11,25.16,0
24949,2019-07-15,1,8,4,3.83,0
22192,2021-04-20,2,3,9,24.81,0
72371,2023-02-16,1,4,2,22.62,0
23539,2023-09-29,2,5,1,12.14,1
11806,2019-07-08,2,1,3,38.12,0
88023,2022-08-05,1,3,3,24.78,0
82589,2022-11-09,2,5,3,18.35,0
17988,2023-08-09,3,5,11,3.29,0
91870,2023-04-15,2,5,7,29.67,0
93746,2023-12-24,1,4,9,18.65,0
85807,2022-12-20,2,9,1,14.38,0
99689,2019-07-27,1,8,13,23.46,0
41799,2022-11-11,1,1,7,45.01,1
68467,2020-02-17,3,9,13,26.09,0
65970,2019-12-04,1,6,6,16.36,0
65166,2019-05-09,2,3,10,20.78,0
69382,2021-02-23,3,4,10,9.66,0
72445,2020-01-18,1,9,4,27.0,0
96414,2023-02-15,1,7,10,8.09,0
18378,2023-03-06,2,1,11,48.89,0
61119,2019-04-23,2,9,12,27.27,0
91948,2020-11-01,3,7,6,31.35,0
88098,2019-07-23,1,8,9,44.54,0
50752,2019-11-28,2,6,13,28.39,0
71432,2022-04-22,3,2,11,43.92,0
5193,2020-05-09,1,10,7,30.53,0
18098,2020-08-18,2,3,5,22.76,0
2652,2020-06-26,3,2,5,48.54,0
62929,2023-10-23,2,10,2,37.21,0
78491,2021-01-09,3,10,1,39.39,0
74747,2023-12-09,3,10,4,12.29,0
80368,2019-08-03,2,7,10,6.1,0
52523,2020-02-14,1,2,2,28.7,0
62583,2021-12-27,2,8,1,8.85,0
26420,2023-06-20,1,9,9,29.14,0
32459,2022-09-29,3,9,4,2.51,0
49563,2023-09-01,1,9,5,14.3,1
64194,2021-01-29,3,7,1,18.75,0
83918,2021-04-03,1,10,10,14.63,0
51887,2020-09-11,3,10,11,35.02,0
43956,2021-05-20,2,8,1,4.36,1
57341,2020-10-12,1,2,7,41.79,0
1952,2021-03-08,2,10,9,16.47,0
39915,2023-07-06,3,2,13,2.05,1
80159,2020-02-29,1,8,12,32.68,0
1714,2020-04-15,3,2,2,26.71,0
32933,2021-04-10,2,2,8,41.0,0
52656,2023-12-11,3,7,10,39.12,0
83813,2020-10-25,1,7,7,30.0,0
32706,2020-01-03,2,10,7,45.21,0
39433,2022-09-15,1,3,2,4.48,0
7810,2023-05-06,1,7,8,15.17,0
89035,2020-09-28,2,2,3,29.95,0
40109,2022-11-16,1,10,6,46.45,0
27804,2021-07-21,3,2,13,39.74,0
40732,2020-06-03,3,6,10,29.33,0
50850,2019-12-24,2,6,6,40.0,0
34666,2023-12-02,1,3,3,31.88,0
59770,2023-04-30,3,10,2,27.4,1
97891,2023-09-14,3,7,11,14.96,0
90186,2023-06-19,2,6,2,45.04,0
39185,2020-01-05,3,4,9,49.99,0
56086,2021-01-27,2,10,12,43.9,0
22655,2020-03-15,1,6,13,46.21,0
29119,2022-02-24,3,6,8,35.4,0
30455,2023-10-27,2,1,13,48.59,0
50477,2021-08-02,2,3,8,32.55,0
80011,2019-02-05,1,8,5,46.26,0
96919,2021-02-04,2,9,6,24.88,0
76376,2023-12-10,1,10,3,34.89,1
41613,2020-11-26,2,3,7,15.31,0
37040,2020-03-17,2,10,5,25.22,0
42671,2020-04-22,1,5,4,49.96,0
78117,2019-03-28,1,7,5,48.11,0
19356,2019-10-27,3,8,10,27.0,0
5428,2020-01-07,1,2,2,38.64,1
17888,2021-01-04,1,9,13,47.65,0
66913,2022-01-03,2,2,12,14.73,0
15934,2021-12-03,1,4,5,16.8,0
74278,2020-05-15,2,4,4,23.81,0
46102,2023-10-07,3,9,8,15.25,0
27848,2022-05-30,1,3,3,10.94,0
16671,2021-08-08,2,8,2,10.18,0
37096,2021-01-08,1,2,4,9.64,0
10560,2021-10-05,1,3,11,8.47,0
87046,2020-10-27,1,1,1,41.92,0
80019,2019-03-03,1,4,6,44.67,1
15455,2022-02-08,1,1,10,26.16,0
87619,2019-03-15,2,4,3,14.57,0
39378,2021-03-21,1,9,3,4.35,0
37659,2023-05-11,2,1,12,4.54,0
22621,2019-02-18,2,10,11,20.58,0
78908,2022-03-12,1,3,7,48.17,0
77150,2022-10-06,3,6,3,11.96,1
79495,2023-10-29,2,10,11,49.25,0
24840,2020-05-21,3,10,5,2.58,0
97349,2019-05-20,1,7,1,46.45,0
26480,2021-04-27,1,4,8,29.02,0
86792,2023-02-12,2,10,3,34.29,0
76927,2019-06-10,1,9,12,13.27,0
71126,2022-03-21,2,10,7,13.46,0
8720,2021-11-19,2,10,11,43.31,0
97893,2023-05-29,3,7,2,46.07,1
68779,2020-03-28,2,1,1,8.76,0
89220,2020-06-12,2,3,5,13.87,0
8184,2023-05-13,3,10,5,9.45,0
97499,2022-01-03,2,8,11,10.7,0
27105,2022-12-28,3,10,3,3.46,0
56408,2022-03-14,1,7,7,5.68,0
84124,2023-06-29,3,9,10,40.26,1
88108,2022-07-18,2,8,6,40.55,0
80755,2019-06-04,1,2,5,16.99,0
46846,2022-02-15,1,9,4,26.33,0
15990,2020-12-18,1,10,13,5.31,0
8814,2023-03-29,1,8,3,43.18,1
94625,2020-06-30,3,3,7,22.74,0
44336,2023-03-08,2,6,12,18.89,0
86458,2020-08-22,1,6,6,12.04,0
6037,2021-01-07,3,1,7,47.39,0
93609,2022-12-06,1,10,5,42.66,0
98301,2020-06-13,3,8,1,39.81,0
36463,2021-09-27,1,6,2,26.35,0
57774,2019-01-14,1,9,4,5.74,0
83725,2023-08-14,1,3,12,7.34,0
15918,2023-02-24,1,6,9,31.18,0
92586,2023-12-23,2,8,5,39.72,0
12347,2019-06-01,1,2,13,29.07,1
21971,2020-12-14,3,3,4,32.02,0
98966,2019-06-22,2,1,5,38.46,0
82022,2020-10-12,2,8,2,15.09,0
22881,2019-05-15,2,9,8,10.26,0
7521,2023-05-01,3,2,11,42.76,1
27311,2022-03-14,3,6,2,32.07,0
41257,2021-01-05,2,4,8,38.56,0
26949,2021-12-15,3,10,3,27.37,1
13860,2020-04-20,1,2,7,26.5,1
4298,2020-10-03,2,8,1,38.84,0
38958,2021-06-21,3,9,4,45.62,0
91990,2019-11-12,1,4,3,46.96,0
94876,2020-02-19,1,4,1,10.5,1
57386,2020-12-03,1,3,7,43.1,0
33584,2021-01-12,3,4,9,26.06,0
82421,2020-03-23,1,10,3,10.17,0
75216,2020-06-16,1,2,8,29.06,0
65738,2021-01-08,1,6,7,48.73,1
9201,2020-10-25,2,4,6,27.96,0
101,2022-07-19,2,5,8,2.78,1
31243,2023-08-31,2,7,8,31.95,0
80856,2022-06-21,1,3,9,30.56,0
3552,2023-01-18,1,3,11,18.65,0
75417,2019-09-28,1,5,5,14.75,0
25792,2019-11-14,3,7,11,25.85,0
34748,2019-06-21,2,3,10,43.75,0
74328,2022-10-14,2,8,5,20.7,0
8541,2023-07-12,1,5,9,49.75,0
77581,2019-10-18,3,6,3,47.15,0
65607,2020-07-27,3,1,10,18.69,0
63951,2021-07-14,1,7,8,39.85,0
78858,2023-03-12,3,4,13,36.79,0
10180,2019-09-27,1,6,9,46.11,1
73013,2022-06-24,3,7,10,30.31,0
70078,2021-10-19,1,6,4,5.86,0
71990,2022-10-14,1,1,3,3.48,0
25938,2020-10-17,3,3,2,40.24,0
92694,2022-10-28,2,6,11,19.93,0
8956,2022-08-14,3,10,10,26.84,0
25048,2020-06-29,2,6,2,39.27,0
37033,2022-11-10,1,4,12,36.05,0
33290,2023-07-19,2,2,9,15.55,0
25592,2022-10-03,3,9,6,39.88,0
94170,2023-04-22,1,7,4,42.67,1
89376,2021-03-05,1,1,13,39.29,0
52611,2021-08-18,1,1,11,49.06,0
86729,2020-01-11,2,7,2,5.79,0
98842,2021-06-12,1,7,1,2.75,0
56306,2020-11-03,2,4,3,4.71,1
80899,2020-12-12,2,7,5,6.77,0
47862,2022-05-13,1,5,3,36.0,0
52111,2019-09-08,1,1,3,37.41,0
18542,2020-06-08,2,2,11,40.89,0
80730,2023-02-02,3,1,13,36.29,0
75357,2022-11-18,2,9,6,22.06,0
54718,2021-02-05,3,1,4,42.39,0
540,2019-06-18,1,7,9,20.21,0
29263,2023-04-14,1,4,3,5.37,0
73783,2021-12-13,2,9,5,27.61,0
5547,2021-10-21,2,8,13,44.61,0
4321,2021-06-05,1,6,11,25.03,0
79357,2019-06-14,2,7,4,41.11,0
45443,2019-09-23,2,4,4,32.61,0
43647,2019-06-03,3,6,5,10.12,0
54153,2020-08-29,3,8,13,32.05,0
36148,2020-09-03,1,2,11,29.81,0
52124,2020-10-23,2,7,5,17.69,0
88084,2022-05-15,2,1,5,3.61,0
12256,2021-03-28,3,8,6,13.6,0
92311,2019-10-20,2,6,7,14.73,0
75137,2019-10-09,1,8,7,38.99,0
3140,2023-08-10,3,5,10,15.04,0
6578,2020-11-22,1,9,10,44.9,0
88891,2022-12-25,2,6,7,26.8,0
81962,2019-04-26,1,2,13,43.59,0
35499,2023-03-07,2,10,10,48.71,1
45440,2023-03-02,3,2,6,41.94,0
94178,2020-03-23,1,1,7,49.09,0
60963,2021-01-14,3,6,8,23.46,0
86991,2021-02-07,3,6,4,39.68,0
18829,2020-11-01,1,2,3,36.8,0
96924,2023-01-17,1,9,9,30.19,0
3476,2021-04-22,2,8,11,49.53,0
74490,2021-10-07,3,7,7,34.89,0
23529,2022-05-23,1,7,4,17.22,0
80073,2019-05-07,2,5,8,34.77,0
44642,2020-11-19,2,9,11,33.49,0
28999,2020-07-16,3,6,10,14.28,0
84429,2023-10-19,1,3,6,37.87,0
58190,2023-05-01,3,1,13,17.09,0
15094,2020-04-07,3,2,6,24.41,0
89615,2021-10-15,2,1,6,7.58,0
79365,2022-05-18,3,7,10,8.75,1
402,2019-04-30,2,3,5,37.19,0
66374,2019-04-27,3,9,11,28.54,0
50011,2020-03-27,3,7,3,6.04,0
82781,2023-05-29,3,6,11,36.43,0
10745,2019-01-30,2,10,7,9.1,0
74007,2019-05-31,3,3,9,49.37,0
18517,2023-04-27,3,10,13,43.84,0
2168,2020-02-06,1,3,3,45.35,0
9444,2019-05-28,3,1,7,41.19,0
43321,2020-04-24,3,3,5,48.99,0
73430,2023-03-06,2,9,8,19.47,0
16570,2019-02-25,3,10,13,25.65,0
58034,2019-09-28,2,3,10,26.15,0
39627,2022-08-31,1,9,6,41.38,0
99656,2023-01-21,3,5,2,42.38,0
84253,2019-01-12,3,2,6,30.55,0
47663,2023-09-28,2,3,8,45.17,0
15830,2019-07-28,3,9,12,30.22,0
79933,2020-12-25,2,3,4,32.62,0
5877,2023-02-25,3,7,7,42.72,0
35314,2023-07-09,2,8,4,13.78,0
70090,2019-07-07,1,4,11,39.5,0
11422,2023-01-20,2,9,10,47.81,0
24883,2021-07-20,3,1,7,35.28,0
60823,2021-12-05,2,1,3,14.62,0
64531,2022-12-01,3,1,1,40.77,0
94950,2022-04-06,2,8,6,43.37,0
84652,2021-03-19,1,7,5,19.8,0
56194,2019-10-30,1,2,12,37.33,1
24484,2019-11-18,3,10,6,8.63,0
67450,2022-09-16,2,9,9,46.32,0
12658,2023-10-02,1,4,7,47.24,0
9170,2021-07-28,1,9,6,46.71,0
18914,2022-11-14,1,8,13,49.46,0
52009,2019-01-27,2,5,13,7.2,0
40592,2023-03-27,2,6,5,38.86,0
92428,2022-03-30,2,7,4,9.83,1
90122,2023-12-30,1,5,7,35.97,0
