Date,Campaign_ID,Spend,Impressions,Clicks,Leads
2023-06-26,27,901.88,46087,1830,16
2023-09-21,23,671.1,27623,1424,92
2021-01-01,18,1155.09,47850,1761,52
2022-03-15,24,692.7,49652,587,71
2021-01-27,1,646.24,35048,383,54
2020-04-16,18,925.03,39152,1042,48
2019-01-08,1,1112.16,37828,335,67
2020-07-04,2,496.15,18825,1982,89
2022-12-09,26,550.11,8292,634,27
2020-11-21,17,1493.98,39076,540,87
2023-01-02,10,1586.54,28295,1086,95
2021-02-08,16,1562.08,37591,774,18
2020-07-22,6,679.08,1160,751,12
2022-10-23,14,1879.69,18641,303,17
2020-12-24,11,667.37,20708,135,37
2023-11-11,18,1654.51,25621,1791,27
2020-07-30,28,260.93,48460,87,40
2023-05-28,28,890.58,27578,878,11
2019-09-09,2,1201.45,42769,395,92
2021-11-07,9,132.71,27661,1870,2
2023-04-12,14,1068.41,36748,739,89
2020-08-04,5,677.93,2755,1467,78
2019-08-03,18,743.06,18998,615,84
2020-04-05,8,1645.62,11385,146,50
2022-12-18,3,424.09,10449,1305,22
2020-05-13,6,704.76,27471,1130,29
2020-02-14,21,451.23,41766,1232,64
2019-09-29,14,336.49,17510,145,27
2019-09-15,7,908.22,16809,372,49
2023-02-06,19,1611.79,44390,1495,65
2021-08-19,2,747.96,49491,696,58
2021-10-17,22,1177.23,10807,333,98
2021-05-24,29,1400.86,32493,1653,60
2021-11-28,7,1678.27,31512,1439,11
2022-05-08,17,1025.14,47492,641,25
2021-12-07,19,585.21,39530,1879,96
2022-02-02,17,1653.08,29284,1322,3
2020-10-27,17,419.69,3353,222,78
2022-04-22,1,1053.23,44596,967,36
2022-05-13,3,1840.65,38251,1661,45
2022-11-18,3,1732.9,1618,136,78
2019-02-16,2,1281.45,42708,1731,47
2021-04-16,18,1146.8,44222,1292,80
2022-08-23,20,1213.98,5926,1230,79
2020-04-11,29,371.49,4221,583,53
2019-07-30,4,538.51,31434,1522,18
2019-04-21,27,606.18,45992,1792,49
2019-12-16,22,589.57,46384,1247,67
2019-12-05,17,1624.68,23162,1407,38
2023-12-24,16,426.69,49980,977,62
2023-06-04,2,1391.82,41070,1649,93
2021-01-28,18,389.51,30187,836,66
2023-10-26,10,1040.56,15259,934,81
2021-06-25,2,604.42,22942,1736,78
2019-01-10,18,592.95,12571,1726,1
2019-03-10,13,574.51,36684,1399,40
2023-05-18,7,1518.85,17190,1350,74
2019-12-10,12,1631.85,11601,561,75
2019-05-06,22,1951.32,29659,486,50
2021-01-26,15,1216.65,29456,805,19
2020-10-18,4,1817.69,35672,335,71
2023-03-24,25,1000.96,40911,1898,64
2022-03-05,7,225.94,30409,1524,89
2020-11-08,7,1025.04,23822,834,75
2023-08-18,29,1604.41,20365,1496,49
2022-11-25,20,1960.82,45346,1230,3
2022-06-27,11,1443.06,36897,218,34
2022-08-26,28,1667.61,46847,640,23
2022-07-18,18,536.67,32034,371,73
2022-06-24,23,1894.57,13855,155,49
2023-12-30,15,1754.86,43663,1276,2
2021-02-05,21,890.43,11126,436,89
2019-10-04,25,1632.74,46211,1182,76
2019-06-22,7,1219.69,26929,1390,56
2019-11-27,13,1751.49,4012,1617,6
2020-08-07,1,796.78,32783,961,51
2022-02-20,13,123.45,33431,829,14
2019-10-15,23,1354.53,43396,1419,33
2022-08-14,10,945.93,37754,963,72
2019-01-20,12,573.79,15530,685,71
2023-12-05,3,1025.12,30223,870,74
2023-03-15,4,788.23,23028,121,16
2019-02-23,7,1084.1,9908,1063,86
2019-01-08,28,309.03,1362,1271,49
2022-08-31,3,626.27,32136,1209,29
2020-08-13,26,1348.61,33078,1530,54
2023-08-06,4,190.91,35744,259,43
2023-04-01,21,1402.06,32671,922,36
2023-08-10,2,751.92,42082,594,95
2022-02-06,8,1145.62,6513,1933,35
2019-10-10,26,1569.76,3672,1640,4
2021-06-30,6,475.68,19233,795,61
2020-04-09,4,1224.64,37427,278,16
2020-03-27,18,1112.09,27240,327,14
2023-05-23,6,1870.75,20931,864,62
2020-09-22,5,1165.06,46726,98,60
2023-11-21,28,1213.62,21069,1300,3
2023-05-28,17,424.78,13990,732,39
2023-03-29,23,1567.34,35384,1845,37
2020-10-28,17,1279.06,24389,1655,21
2023-12-21,10,1469.1,42863,1915,21
2022-09-17,24,1112.21,16454,122,95
2020-04-09,3,1462.89,32098,1211,42
2022-12-08,19,1535.01,6030,1022,35
2023-05-17,10,1971.86,49185,722,98
2022-05-10,16,1026.79,20223,480,19
2023-01-05,5,1171.43,16667,766,87
2022-12-15,4,1243.93,14665,1118,7
2020-11-15,13,1733.34,10009,1547,55
2022-05-16,21,497.84,41387,726,43
2019-03-04,26,758.02,40605,1665,36
2022-09-04,9,1725.92,6214,1532,6
2021-04-19,24,1178.94,22663,83,52
2021-01-04,22,1347.71,33843,1255,98
2021-09-20,7,821.72,47538,985,87
2023-06-21,3,615.2,45569,1597,61
2021-04-01,3,713.85,36487,1081,69
2023-03-06,13,1729.94,27180,1497,89
2023-03-18,22,434.36,1596,950,34
2020-02-06,18,1339.44,44108,124,13
2023-09-08,28,1635.66,26493,669,97
2023-12-27,3,844.03,5545,381,50
2023-01-24,11,1760.78,45025,1405,91
2019-12-23,28,773.25,15227,1379,50
2019-09-16,14,1626.12,23162,79,39
2020-06-02,22,1185.63,32746,832,23
2021-10-13,12,616.31,13421,1871,58
2020-10-01,6,268.86,37255,1531,69
2019-09-30,6,1356.08,24549,229,46
2019-07-02,11,755.65,7014,1207,25
2020-07-19,19,1900.26,13334,832,10
2021-07-06,21,352.88,38113,929,82
2022-10-30,27,732.08,14066,783,76
2019-01-04,4,166.38,5469,713,90
2019-08-18,11,1999.31,39359,823,40
2021-09-07,14,1956.83,3365,241,94
2020-09-23,4,1523.82,10893,1104,56
2020-09-26,26,1204.66,31001,620,89
2022-10-22,4,1797.09,12561,562,23
2021-01-22,23,1508.9,44496,1182,48
2021-03-08,20,258.97,22217,506,18
2020-11-28,22,1790.05,25013,1464,68
2023-05-11,5,1389.94,26404,1364,26
2019-08-24,17,569.34,8340,1349,57
2020-05-03,3,1229.28,40808,370,95
2020-08-17,10,1855.09,41598,714,65
2023-12-23,4,1008.98,13829,1744,44
2020-11-11,19,447.27,26024,741,60
2020-06-19,29,1302.37,5477,1592,50
2022-11-09,24,1157.19,29857,934,91
2022-09-28,5,245.14,46225,1976,34
2019-06-16,7,1122.61,47172,1214,68
2019-03-28,4,1970.04,36347,702,95
2023-12-12,18,1232.02,47227,405,94
2022-03-25,24,214.73,28363,1283,95
2022-06-03,27,481.95,4162,630,3
2021-01-15,16,1972.22,2065,599,43
2023-08-11,9,516.25,36372,273,98
2021-12-06,20,231.26,47581,1898,76
2020-03-31,29,639.09,36014,1953,3
2019-02-01,23,1691.88,46680,1808,73
2019-01-23,22,1424.97,23302,1644,69
2022-10-12,6,489.88,28436,815,91
2022-12-30,7,1487.02,28763,1171,92
2021-04-25,1,1749.26,7409,858,18
2023-04-10,13,153.51,7286,1679,38
2020-06-19,10,1933.04,20143,260,32
2021-06-21,23,1868.72,28221,654,88
2019-11-24,19,1054.56,16141,1759,43
2020-03-08,28,503.1,23420,811,90
2020-05-01,23,530.15,4785,908,12
2021-10-29,24,1320.42,39706,540,7
2022-12-23,14,727.48,4269,210,43
2022-02-01,27,1552.65,26405,1732,72
2022-07-14,13,1685.3,11961,889,46
2022-03-05,9,716.96,16258,954,24
2019-03-22,13,327.24,2817,1067,23
2022-09-01,5,1777.59,7212,1817,85
2022-10-19,23,1879.65,14576,1290,85
2022-11-15,17,1622.93,36746,449,94
2019-09-14,10,865.53,30243,314,60
2019-12-24,8,525.52,42321,1164,87
2023-10-30,9,162.23,44401,1629,30
2021-05-13,6,227.22,46875,1877,80
2021-09-07,22,1996.0,45092,1227,30
2023-01-17,10,408.88,38600,176,31
2021-05-30,21,1428.66,20668,736,54
2023-09-04,30,1169.04,38836,1104,62
2022-06-09,6,1538.27,26265,1740,21
2021-11-29,12,1853.56,5542,1150,67
2019-02-01,16,1652.92,31219,1481,2
2019-04-24,30,242.72,36076,1533,41
2020-10-01,11,1234.1,26793,765,37
2021-11-04,30,1644.45,22738,697,52
2021-12-12,8,849.96,6943,118,70
2021-12-13,25,1056.2,23456,710,75
2019-03-13,13,172.47,22045,248,82
2019-12-24,30,380.07,46951,1429,94
2023-04-23,10,940.92,44245,635,18
2023-03-08,16,558.25,30131,1708,19
2022-12-19,22,561.96,28443,891,17
2022-09-29,15,1669.81,3356,331,56
2021-11-12,27,1390.1,24600,808,95
2020-11-13,25,508.97,35474,891,22
2020-10-04,19,795.7,23664,441,97
2019-05-24,21,633.81,8977,955,22
2023-04-04,22,463.98,11005,1160,75
2022-12-16,28,847.73,4084,391,49
2020-11-02,4,1653.09,5933,581,33
2019-01-13,12,285.72,26663,1697,44
2020-04-24,28,535.98,19306,1623,11
2021-01-05,14,808.84,38188,827,68
2020-01-29,23,864.48,16355,1409,3
2020-09-29,24,369.22,23020,818,12
2021-11-02,25,425.75,15829,210,47
2020-11-17,16,1011.89,31270,321,30
2023-03-18,21,231.06,25615,125,14
2021-03-23,21,588.33,34264,1796,95
2022-12-22,28,1725.3,23582,1858,12
2019-09-12,26,1654.13,34849,901,73
2019-02-26,15,1729.14,21570,342,74
2021-07-25,28,1956.81,27537,445,62
2020-10-27,8,1093.09,5927,816,85
2022-06-18,23,841.22,47677,374,44
2023-07-03,14,1340.04,17098,1576,28
2021-04-29,28,877.76,23724,1093,48
2020-11-01,30,897.85,34842,580,25
2020-07-01,10,718.13,41536,1271,54
2023-11-28,15,747.88,45030,1294,60
2023-05-02,26,1724.3,48168,1285,87
2023-02-24,20,423.71,23228,1800,4
2019-10-28,30,417.13,30321,1907,37
2023-03-29,20,906.98,38145,1352,53
2019-12-14,6,1586.39,35176,936,13
2021-04-05,29,351.38,45179,1504,81
2020-08-30,14,1606.57,40483,1420,74
2021-07-18,16,400.56,1787,707,90
2020-01-14,8,1218.87,26859,1062,84
2020-05-12,7,498.64,21701,966,11
2020-06-27,19,930.07,39422,536,76
2019-08-29,27,159.64,42543,624,72
2021-10-22,28,727.98,28162,937,65
2023-11-15,11,1460.29,2273,1198,11
2023-12-20,19,1574.96,11747,1870,25
2020-12-09,18,200.28,27881,1114,30
2022-08-02,8,275.41,9332,1737,19
2021-08-23,9,1437.04,21546,1776,75
2019-12-11,21,277.19,4554,832,68
2023-05-17,7,1642.41,42543,1763,41
2020-09-13,30,1696.55,40397,557,74
2020-08-14,10,1977.1,11615,1579,26
2019-03-20,17,1893.99,21711,577,42
2022-05-15,8,1218.83,12552,118,13
2019-12-04,2,1880.07,38472,50,50
2022-05-19,27,539.25,13808,1628,12
2019-11-20,20,556.94,24882,1973,10
2019-01-22,27,1912.65,49370,929,90
2020-09-02,6,740.73,38208,318,10
2023-05-14,25,1146.84,3784,1718,86
2020-06-25,18,438.6,11686,270,86
2022-04-12,22,1867.26,32726,1821,39
2021-07-30,14,914.83,32132,1597,43
2020-09-14,6,1431.35,33190,1375,59
2021-10-04,21,1367.04,30642,59,97
2021-05-10,22,145.85,27902,542,27
2022-04-23,5,229.99,44110,827,67
2019-07-29,25,1270.53,45422,894,14
2022-02-01,28,1209.04,4398,1622,86
2020-09-27,14,549.59,45717,327,90
2019-06-11,3,736.94,32405,1403,43
2020-04-11,7,1317.93,10601,1422,14
2022-09-21,11,108.98,45161,197,2
2023-10-07,22,1489.0,47222,814,55
2021-03-14,9,1809.41,12825,1424,31
2023-06-04,6,1053.72,8007,1378,55
2020-04-13,12,1595.98,17219,1247,63
2023-09-29,21,986.2,7053,534,87
2020-10-29,27,662.27,22508,361,28
2019-09-22,10,791.59,3415,1197,70
2020-03-15,21,1342.41,43835,198,38
2023-09-09,20,1774.28,46274,762,27
2020-01-10,29,1755.41,21858,1694,86
2019-10-10,16,651.44,42331,712,94
2020-08-17,15,451.11,4150,1231,38
2019-06-02,3,1624.98,49782,862,40
2020-09-13,14,1657.19,30114,1341,78
2022-10-13,5,247.62,43143,452,77
2022-02-26,23,1196.46,13243,388,50
2020-08-14,27,1481.57,34346,1144,42
2020-09-02,22,1916.03,45466,194,76
2020-10-15,8,1143.55,7679,997,67
2020-05-02,27,480.59,33406,864,75
2019-08-22,18,1189.4,25104,561,78
2022-09-10,9,1919.37,46571,1788,73
2019-07-29,25,553.66,21278,103,54
2019-03-20,8,529.7,35749,1498,87
2019-07-18,8,1167.58,33497,1937,56
2019-04-30,9,1914.12,16380,1230,57
2022-01-02,22,916.24,14984,1694,65
2022-07-01,1,446.66,46564,338,57
2020-11-04,15,868.0,40218,136,30
2023-05-25,21,1984.58,48573,1848,49
2020-08-04,18,243.0,41625,199,99
2020-09-27,5,1144.75,16862,1575,60
2023-03-27,10,310.71,14675,637,59
2023-10-19,6,1232.5,29045,1801,34
2023-08-10,4,1011.11,22065,1509,67
2023-12-12,25,1574.47,30780,1913,60
2019-04-27,2,1914.51,33975,1619,50
2020-08-12,16,1896.86,1484,1776,53
2020-06-28,18,1984.94,5115,1912,37
2019-09-10,15,1952.5,23993,613,75
2021-06-05,23,1500.06,37196,619,59
2021-02-04,9,1551.55,17599,270,76
2019-07-01,2,1355.2,20261,1715,53
2022-12-23,4,1782.03,28961,1702,3
2021-01-11,28,1671.62,46771,465,55
2021-12-29,10,1109.81,43178,73,33
2019-07-19,8,1519.47,49496,1294,67
2023-02-16,6,777.23,15282,716,20
2022-11-28,30,372.86,10831,1491,1
2023-02-07,15,1004.66,23511,1676,22
2020-11-15,23,1337.82,36573,636,23
2023-09-05,8,863.27,7557,461,90
2021-04-04,22,350.48,21487,1719,86
2021-09-23,8,635.11,8908,1837,40
2021-02-08,12,846.01,34958,102,77
2022-05-29,12,419.92,28970,1264,32
2023-06-03,30,944.03,13272,365,2
2022-05-04,9,784.47,44738,431,45
2023-08-04,18,1934.75,31794,284,46
2020-06-16,1,685.63,7571,751,14
2023-05-24,21,1249.65,24483,634,0
2023-09-09,5,1802.12,2789,797,97
2023-01-07,26,595.1,14755,282,76
2022-08-30,27,1233.98,22058,1012,19
2022-02-04,13,937.66,29126,1425,53
2019-09-25,29,628.8,33913,400,60
2020-08-18,27,814.47,31961,1387,65
2021-10-16,2,783.63,16892,190,99
2023-07-18,22,1274.09,4868,240,88
2022-10-01,29,884.16,11642,190,35
2023-05-05,5,1959.4,24996,1614,77
2021-01-25,13,361.81,1044,1058,92
2020-10-17,25,360.46,6251,1170,2
2023-01-31,20,1617.51,46820,824,27
2019-11-19,16,527.9,3523,1877,46
2020-05-28,14,1411.53,22327,1982,55
2019-09-27,10,974.75,46997,103,9
2022-08-15,25,1590.25,16500,1396,44
2020-04-07,30,430.49,39054,953,10
2022-09-02,16,488.74,8607,1978,80
2022-05-20,20,731.82,9854,213,25
2019-07-16,13,1580.27,44856,1072,43
2022-04-18,26,524.59,39406,1591,80
2022-10-20,24,1413.44,29846,926,23
2019-09-20,13,950.85,45432,974,20
2023-04-12,8,1961.63,39110,1443,54
2019-10-30,15,1897.96,24873,1805,70
2023-08-28,8,1670.46,21245,952,88
2023-01-09,20,1204.45,6547,515,32
2022-08-15,2,1842.9,2205,1321,28
2022-09-03,2,326.81,47326,566,96
2023-08-04,15,1500.86,2168,289,18
2021-10-03,9,291.62,32500,1996,32
2022-06-12,22,1979.79,28554,682,62
2023-12-12,22,1495.12,29214,1394,87
2020-06-18,19,132.82,22160,897,59
2023-05-24,15,153.44,4113,1685,56
2019-02-08,21,1258.28,47425,837,47
2020-05-19,24,1230.42,41912,1095,5
2020-09-30,3,1495.04,27447,1074,61
2019-11-22,16,1188.99,8917,60,30
2021-10-31,10,959.21,5738,1780,40
2019-07-14,15,490.91,24922,328,20
2021-11-12,27,913.59,27035,1488,9
2021-12-28,16,1584.18,17170,647,43
2020-09-17,11,1312.34,36421,1063,94
2021-04-23,23,1330.45,10372,1612,32
2022-06-30,10,1135.23,2306,102,82
2022-07-26,18,775.37,17124,1672,49
2022-10-29,8,1773.09,1907,1968,45
2020-01-15,12,257.72,38892,1368,55
2020-04-22,11,1622.13,28254,916,95
2019-04-28,12,511.09,20085,1526,38
2021-12-30,22,1771.59,17602,521,50
2019-05-23,20,1522.09,47469,1905,32
2020-07-20,7,921.12,48818,527,78
2020-07-27,16,818.34,16922,1777,87
2019-10-07,13,1895.9,39957,1717,41
2023-07-13,12,217.77,31820,968,20
2022-05-18,10,400.79,8730,545,71
2023-10-13,10,843.25,11489,311,17
2021-09-02,1,1282.74,3567,1926,1
2020-11-01,1,1930.19,27867,1557,42
2019-03-01,27,851.9,23417,653,6
2019-06-25,12,1827.58,35125,1781,35
2021-07-06,30,1019.75,21763,1663,90
2019-04-28,14,254.38,15710,1173,30
2020-10-29,20,1025.03,37475,1180,62
2019-12-26,29,825.08,16625,1254,64
2019-07-30,12,1877.99,24723,1585,46
2021-10-05,4,635.68,6877,1297,0
2020-03-31,10,1439.48,46471,265,56
2022-07-16,20,338.01,14624,973,14
2022-11-10,7,901.25,48701,1341,35
2020-06-15,25,1247.38,18718,409,7
2020-09-19,27,347.62,33063,339,70
2020-10-23,21,235.7,17380,668,72
2021-09-30,12,115.17,27039,781,42
2020-10-02,19,1011.53,17113,1240,91
2023-12-10,10,1711.74,10396,625,57
2023-12-01,7,210.64,8384,827,50
2023-09-07,9,254.58,16275,575,54
2022-11-30,20,115.52,20975,1995,17
2021-07-22,30,1467.73,24461,815,37
2021-02-04,2,1569.58,7818,678,68
2023-08-14,24,644.34,39116,1006,44
2023-04-01,26,577.67,6129,273,23
2023-12-20,13,1920.43,22359,1586,33
2020-01-05,6,1282.79,27479,1408,4
2021-08-15,15,553.91,12548,904,73
2020-12-16,7,122.67,39483,478,64
2022-02-13,29,1686.02,42308,186,19
2020-12-21,17,159.78,24827,705,92
2021-05-30,5,1689.36,43784,752,53
2023-06-21,13,753.9,34319,808,20
2023-12-29,11,1228.91,10829,1325,67
2022-08-18,24,1303.45,8327,901,96
2023-11-28,27,130.15,6742,768,74
2019-07-25,26,148.68,8291,1136,80
2020-01-14,4,1485.35,30670,188,49
2019-03-23,8,1227.65,40534,1414,92
2020-11-18,29,974.35,41458,1247,34
2019-09-06,24,1547.64,38477,500,51
2022-10-29,18,1744.07,39075,340,81
2021-12-21,21,913.7,21486,525,42
2023-04-23,13,1181.95,30008,165,7
2019-02-13,29,937.65,17487,1712,96
2019-08-16,20,1427.45,17699,1787,10
2019-05-29,21,337.19,4191,557,5
2023-05-01,9,985.68,10605,1492,86
2022-04-26,7,432.89,19666,1271,19
2019-09-17,21,1663.12,11682,1517,5
2020-09-08,1,990.96,31038,1976,7
2022-04-23,27,917.65,12095,1184,9
2022-02-27,15,160.23,5003,1412,90
2022-01-05,24,984.05,15280,1043,24
2020-03-12,19,346.52,9062,1542,35
2022-07-26,23,1947.7,47854,622,6
2022-01-08,19,398.64,6873,698,58
2020-05-31,11,942.78,13679,1032,82
2019-01-09,5,898.57,41451,1049,91
2023-05-10,3,1066.7,31045,892,40
2022-03-23,24,1606.78,18779,619,27
2023-10-15,23,1030.02,10904,1914,95
2021-07-07,12,1963.43,28348,1444,45
2021-02-21,17,844.78,44513,1582,22
2020-05-01,5,769.1,14138,861,8
2020-11-12,7,390.13,11436,462,77
